,bio1,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19,bio2,bio3,bio4,bio5,bio6,bio7,bio8,bio9
1981,464,1230,-212,202120,30566,3873,4712,68792,30866,42060,57559,2365,5547,66056,2525,-1738,4263,284,107
1982,524,1381,-291,161041,22235,3325,4706,51303,24208,38908,39394,2110,5037,69087,2582,-1606,4188,1323,-70
1983,540,1332,-164,157054,26821,2736,4934,54644,25669,25669,27271,2184,4772,65314,3009,-1568,4577,701,1332
1984,468,1306,-368,146145,28142,6704,5116,58482,26909,46823,31485,2126,4954,68998,2824,-1467,4291,748,394
1985,462,1304,-228,153804,27636,951,5930,61766,18407,27931,33142,2291,4655,75738,2507,-2415,4922,658,419
1986,427,1251,-390,186864,28296,5404,4551,60402,35217,45605,39185,2378,5031,76596,2563,-2164,4727,667,-298
1987,474,1284,-107,173786,26944,6443,3687,64320,28816,42334,35529,2243,4434,74028,2610,-2448,5058,959,436
1988,505,1227,-218,178244,31894,7154,4447,62561,30516,44437,62561,2066,5170,63891,2447,-1550,3997,-218,791
1989,669,1274,251,128468,21898,1807,5409,44284,16683,40471,24668,2118,6069,46142,2545,-945,3490,1256,437
1990,614,1327,-58,177794,32087,3397,5525,56951,31125,56951,56048,2070,5021,60960,2577,-1545,4122,1327,549
1991,591,1455,-62,144506,20117,3193,4152,47104,24522,32542,40486,2151,4654,64600,2700,-1921,4621,265,53
1992,611,1401,-7,170261,26432,1560,4384,63172,27088,40625,41757,2099,5089,61961,2667,-1457,4124,282,818
1993,549,1313,-134,165518,24118,4999,5025,55185,24642,52389,35583,2349,5282,63038,2576,-1871,4447,1223,169
1994,685,1466,170,160986,23144,3658,4370,52612,24746,38778,24746,2080,5338,60562,2649,-1247,3896,744,170
1995,542,1348,-32,188942,35530,1154,5656,69495,23893,40111,53073,2171,4771,67510,2614,-1936,4550,427,407
1996,549,1238,-217,169231,30364,3144,5630,57046,25170,56647,29266,2182,5766,59148,2348,-1436,3784,308,-25
1997,639,1309,106,147388,24015,4823,5195,60539,21784,45240,35002,2002,5852,54716,2394,-1027,3421,1101,394
1998,604,1410,-35,149261,22136,2940,4964,50154,18131,44290,25223,2390,5561,63380,2810,-1488,4298,559,59
1999,572,1455,-291,206228,34130,8056,4396,67487,35446,40559,67487,2247,4831,77862,2616,-2036,4652,-291,633
2000,634,1452,-18,147957,22972,5984,4394,43514,24404,42956,32287,2079,4885,68780,2660,-1597,4257,320,755
2001,570,1320,-167,194275,31090,6210,5358,66816,23587,62701,23594,2192,5281,66621,2556,-1594,4150,614,206
2002,630,1410,93,188760,28132,2995,4537,66480,30677,60608,37536,2062,5111,55310,2730,-1305,4035,1249,233
2003,672,1717,-59,132864,17859,4358,4140,43583,18417,43583,18417,2352,4863,77830,3030,-1806,4836,1717,-59
2004,614,1363,35,139440,27314,3749,6282,58011,18317,54216,23414,2323,5775,62751,2637,-1385,4022,740,59
2005,518,1419,-540,149572,22464,4511,3820,53504,25055,53504,33278,2407,5213,86048,2778,-1839,4617,1419,201
2006,584,1354,-142,157931,26949,4624,5790,62429,21913,48599,45454,2127,4915,65595,2613,-1714,4327,334,391
2007,577,1342,4,182559,30990,2471,5864,76974,25430,76974,39420,2252,5163,62802,2615,-1746,4361,1342,373
2008,595,1332,7,153943,26092,3531,4529,55258,27445,53558,29414,2159,5779,58854,2424,-1312,3736,1233,34
2009,610,1439,-310,146684,19726,3496,4679,50438,21739,35584,43060,2217,4997,77638,2736,-1701,4437,1291,552
2010,476,1392,-338,140852,20405,3304,4917,52875,19367,52336,36125,2354,5241,77930,2714,-1778,4492,1259,3
2011,7.27958333333333,13.7233333333333,1.77,1431.02,353.14,0.1,78.1904048957035,512.53,151.71,469.08,460.15,22.1791666666667,53.0856071485559,567.93203251851,28.1,-13.68,41.78,12.0633333333333,4.885
2012,6.31666666666667,15.2583333333333,-1.465,1630.82,269.29,31.16,50.1541232135421,564.48,211.84,380.15,422.99,23.9066666666667,47.4056447881552,724.676050927501,28.91,-21.52,50.43,8.48333333333333,1.42166666666667
2013,5.38666666666667,15.185,-2.47,1703.95,262.12,67.18,38.5276290718908,541.07,325.14,360.54,325.14,22.235,49.5321897972822,783.486274560214,27.59,-17.3,44.89,12.195,-2.47
2014,6.95125,13.6783333333333,1.15333333333333,1743.04,356.63,55.41,56.7696020859286,686.92,294.27,686.92,325.23,20.9441666666667,50.6631994839542,546.78723321699,26.18,-15.16,41.34,13.6783333333333,6.31166666666667
2015,7.08,15.7666666666667,1.06666666666667,1366.63,241.52,14.72,46.2989702405598,478.98,200.96,324.73,212.54,21.5266666666667,52.2999676060901,645.133883215513,28.98,-12.18,41.16,5.43333333333333,1.88666666666667
8110,566,1362,-124,163416,26350,4018,4903,57873,25006,46233,37382,2205,5169,66658,2635,-1655,4290,795,317
CHELSA,36,127,-48,1263,137,83,16,402,261,402,296,81,300,6476,180,-89,269,127,61
worldclim,29,104,-45,1576,153,117,9,430,366,393,430,73,30,5907,159,-84,243,-45,40
