,bio1,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19,bio2,bio3,bio4,bio5,bio6,bio7,bio8,bio9
1981,325,1076,-372,255361,41135,3650,5422,93738,36752,49832,74237,2418,5745,64045,2395,-1813,4208,-7,-59
1982,399,1254,-427,201083,29906,3937,5323,67411,26987,48210,51898,2162,5108,69010,2407,-1825,4232,120,-218
1983,418,1205,-253,196661,28736,4919,4573,62242,32268,33794,32268,2167,4888,65082,2884,-1550,4434,563,-253
1984,346,1149,-472,192291,37857,7132,5951,81267,30248,63606,42509,2124,4924,67279,2665,-1648,4313,628,-109
1985,317,1132,-311,181625,32731,1096,5757,74237,23344,31170,39529,2228,4716,71398,2284,-2441,4725,443,321
1986,301,1111,-490,223467,38309,6288,5098,73914,40926,49821,49954,2352,4927,75051,2397,-2376,4773,532,-452
1987,333,1113,-220,208471,32743,9315,3576,76078,37847,52530,42509,2228,4452,71911,2373,-2632,5005,770,353
1988,365,1068,-376,224968,41558,7014,4959,90758,34201,47819,90758,2044,5174,64280,2265,-1685,3950,-376,654
1989,509,1079,93,145180,21396,2065,4816,49191,20069,45656,43503,2082,6024,43566,2328,-1129,3457,1076,520
1990,444,1120,-168,232934,63350,4431,8137,94875,32332,64009,94875,2045,5238,57696,2355,-1550,3905,-168,312
1991,439,1289,-163,164063,24591,3078,4624,54263,28649,34864,51801,2115,4766,61906,2469,-1969,4438,160,165
1992,465,1232,-107,212849,42573,2142,5591,87497,28243,43319,55065,2073,5091,58598,2505,-1568,4073,186,686
1993,383,1122,-292,196908,36755,5234,5404,60332,31886,57640,49092,2324,5222,62257,2332,-2118,4450,1052,-140
1994,551,1307,60,196861,26290,5345,4235,65733,34168,45204,35352,2064,5330,58575,2499,-1373,3872,603,122
1995,390,1154,-176,231699,47884,1171,6255,91780,31637,46047,71341,2147,4917,64592,2414,-1953,4367,284,275
1996,381,1067,-383,185149,38068,3184,6082,67177,27813,58317,33715,2126,5723,58459,2161,-1554,3715,175,-215
1997,486,1144,-37,182317,30069,7335,4580,66708,30844,56672,47938,1946,5869,53230,2199,-1117,3316,1107,286
1998,441,1233,-168,182068,25147,2574,4762,68120,22739,46880,34300,2357,5503,61977,2594,-1689,4283,427,-87
1999,432,1306,-406,252088,44504,8625,4899,89103,42649,50563,86920,2235,4896,76131,2521,-2043,4564,-378,80
2000,483,1300,-189,170383,27113,9345,4127,48675,30881,48675,46778,2046,4963,68164,2518,-1604,4122,1300,670
2001,432,1174,-274,231326,39653,6946,5277,78536,34172,68407,35658,2237,5319,64759,2428,-1777,4205,450,69
2002,492,1252,-45,223406,32771,5613,3944,74295,40090,64431,56763,2026,5209,54463,2543,-1346,3889,183,603
2003,511,1523,-223,157021,23269,5705,4395,54100,23852,45101,23852,2323,4867,76797,2819,-1954,4773,292,-223
2004,444,1182,-147,178457,38774,4610,7410,83419,21479,67619,26830,2306,5621,61866,2440,-1662,4102,583,-68
2005,369,1230,-625,157099,22343,3477,4049,51321,27349,51321,40546,2363,5191,80480,2569,-1983,4552,1230,99
2006,458,1222,-236,193912,35329,6190,5500,73543,26274,55829,65295,2119,5005,63754,2405,-1829,4234,168,288
2007,449,1200,-85,238126,38906,3461,5385,92612,40098,90816,62883,2252,5178,59939,2446,-1903,4349,1042,259
2008,457,1158,-107,169781,24641,4394,3976,56229,30561,53309,38936,2161,5808,56573,2227,-1494,3721,1079,-50
2009,469,1294,-439,160850,24149,3952,5043,55034,24526,38772,46177,2179,4822,75870,2587,-1931,4518,-236,697
2010,328,1202,-491,163627,22899,3397,5027,62650,22641,62650,34470,2359,5271,74407,2510,-1965,4475,1202,-173
2011,5.92583333333333,12.065,0.64,1694.47,487.13,0.05,87.6848961733505,629.91,189.97,519.75,614.78,21.495,53.271375464684,533.571492753115,25.87,-14.48,40.35,2.78833333333333,3.41833333333333
2012,4.825,13.465,-2.80333333333333,2027.77,401.61,36.05,57.3743129700896,701.35,189.99,547.68,477.92,23.7033333333333,47.2648720505151,704.557404590738,27.1,-23.05,50.15,1.4,-0.0516666666666673
2013,3.97166666666667,13.485,-3.44,2013.25,264.72,73.64,37.0465292960075,611.47,369.41,417.02,369.41,21.62,49.5757853703279,761.163174876372,25.39,-18.22,43.61,-0.0299999999999997,-3.44
2014,5.63625,12.2666666666667,0.0399999999999997,1967.19,364.87,60.2,51.5123457485527,739.63,361.26,739.63,424.54,20.4758333333333,50.7455596860801,533.098665820878,24.47,-15.88,40.35,12.2666666666667,4.88166666666667
2015,5.75958333333333,13.955,-0.0833333333333332,1680.76,280.69,19.28,49.3037074702257,590.9,262.87,380.38,391.74,20.9025,51.8415178571429,613.10663681456,27.03,-13.29,40.32,3.74833333333333,1.075
8110,421,1197,-251,197001,33782,4854,5139,71495,30518,52429,50192,2187,5192,64737,2451,-1783,4234,483,147
CHELSA,30,120,-54,1541,147,111,9,429,337,429,397,80,302,6419,173,-94,266,120,5
worldclim,24,99,-49,1651,162,121,9,455,381,411,455,71,29,5879,152,-87,239,-49,36
