,bio1,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19,bio2,bio3,bio4,bio5,bio6,bio7,bio8,bio9
1981,553,1354,-100,203144,33374,3647,5129,69975,31404,38004,61131,2139,5097,70324,2552,-1644,4196,334,218
1982,626,1457,-124,162181,22702,3283,4916,52461,25446,37675,42695,1949,4930,66417,2598,-1356,3954,302,64
1983,669,1459,12,156754,26145,2162,5110,56019,22709,22709,28113,2037,4767,63023,3041,-1233,4274,851,1459
1984,598,1456,-206,144929,26803,6252,5037,58365,27315,44623,31077,1965,4803,68672,2921,-1170,4091,862,291
1985,597,1422,-63,165275,29530,935,5910,66760,19170,29135,36081,2184,4440,75740,2647,-2273,4920,826,494
1986,526,1379,-328,191445,30091,5831,4447,62247,36623,47572,41665,2187,4854,78292,2652,-1854,4506,791,-299
1987,621,1433,40,172030,26651,6509,3501,62148,29331,41959,34862,2066,4327,72873,2702,-2072,4774,1127,516
1988,637,1375,-63,181541,32402,6182,4798,65102,25742,43008,65102,1935,5087,63165,2598,-1205,3803,-63,924
1989,785,1407,356,129072,22177,1773,5562,43960,16061,43960,26791,2028,6146,48118,2625,-674,3299,1407,481
1990,743,1468,80,188412,37046,4485,6099,61310,28413,59239,61310,1938,4865,60289,2686,-1297,3983,80,729
1991,708,1584,-4,146281,21184,3377,4425,48342,23404,34524,41069,2004,4548,66921,2756,-1651,4407,308,196
1992,722,1544,101,176042,27860,1696,4863,70939,27053,39328,44757,1940,4937,65204,2729,-1201,3930,364,895
1993,668,1475,-68,168672,27579,4620,5333,56151,24538,52375,38640,2160,5164,66295,2689,-1494,4183,1346,254
1994,810,1587,270,167898,23946,3641,4364,56157,25601,40911,25601,1937,5155,60437,2743,-1014,3757,888,270
1995,660,1496,89,195139,37753,1415,6121,70340,25307,36826,60389,2048,4580,68276,2738,-1734,4472,560,450
1996,668,1410,-82,170695,32270,3048,5969,59124,26501,56640,31736,2044,5575,60598,2486,-1181,3667,385,156
1997,758,1424,247,152142,22388,4897,4806,60316,23572,44399,37680,1919,5863,54131,2468,-805,3273,1226,459
1998,718,1519,44,152392,22909,2758,5162,53816,17839,44510,24231,2216,5388,64612,2850,-1262,4112,651,151
1999,695,1559,-145,210814,31884,8239,4317,69621,35796,42359,69621,2077,4729,76131,2612,-1780,4392,-145,707
2000,779,1573,175,151469,24546,5641,4530,46277,23670,42772,33633,1966,4768,67171,2713,-1410,4123,450,878
2001,720,1444,-20,197898,35869,6093,5772,70042,22891,61351,22891,2058,5072,65078,2632,-1426,4058,771,-20
2002,780,1552,268,187217,28268,3232,4598,65111,31532,57463,38188,1959,5015,55035,2807,-1099,3906,1408,406
2003,799,1827,60,133491,19028,4171,4359,44529,17370,44529,20159,2169,4819,76139,3064,-1438,4502,1827,67
2004,728,1516,71,143043,28415,4407,6553,59184,17105,54531,19694,2146,5520,65031,2729,-1158,3887,884,321
2005,639,1542,-391,146569,24519,4137,4436,56263,24280,56263,31960,2295,4963,87260,2867,-1758,4625,1542,261
2006,693,1462,6,160837,27177,4113,5845,65261,21371,46688,48329,1993,4821,66610,2710,-1425,4135,504,428
2007,680,1477,59,190464,32996,1882,6172,83068,23252,83068,42450,2081,4949,64545,2657,-1549,4206,1477,140
2008,701,1474,68,163151,28798,3786,4618,58598,31481,57793,31675,2040,5649,63047,2550,-1061,3611,1366,91
2009,720,1551,-170,153509,20876,4787,4629,52502,22935,47950,46196,2131,4859,76909,2835,-1551,4386,-43,642
2010,610,1495,-174,143324,22143,3149,5078,50586,20103,48632,40662,2250,5321,77551,2758,-1471,4229,1390,414
2011,8.04916666666667,14.96,2.09333333333333,1390.15,369.37,0.21,84.6166358957618,503.75,128.69,449.16,467.94,21.6083333333333,52.4983803045028,597.296706889136,29.24,-11.92,41.16,13.2766666666667,5.03833333333333
2012,7.45166666666667,16.1933333333333,-0.448333333333333,1714.98,291.99,25.41,52.1150251696523,588.9,211.95,395.19,456.33,23.095,47.7169421487603,718.12458824526,29.41,-18.99,48.4,9.58166666666667,2.90833333333333
2013,6.47666666666667,16.3316666666667,-1.78333333333333,1699.56,264.96,74.34,40.3049252434708,524.52,322.26,336.21,337.27,21.47,47.5631369073992,792.922222866248,28.81,-16.33,45.14,13.4133333333333,8.685
2014,7.91166666666667,14.815,1.80833333333333,1790.01,381.53,52.35,60.6270140384719,715.79,300.72,715.79,330.78,20.2,48.1066920695404,565.055199770676,27.1,-14.89,41.99,14.815,4.60166666666667
2015,7.91125,17.095,1.39833333333333,1312.47,238.28,12.83,48.3820614971758,458.26,179.96,320.38,189.95,20.5141666666667,49.8279491539147,677.815814516813,30.37,-10.8,41.17,6.87833333333333,2.02666666666667
8110,687,1491,0,166861,27578,4005,5082,59819,24927,46693,39280,2062,5034,67130,2714,-1408,4122,789,401
CHELSA,49,141,-36,1294,142,91,15,416,281,416,300,81,299,6531,194,-77,270,141,73
worldclim,44,121,-34,1384,132,101,8,375,326,350,373,79,31,6102,180,-74,254,-21,-2
