,bio1,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19,bio2,bio3,bio4,bio5,bio6,bio7,bio8,bio9
1981,442,1211,-265,204001,30466,3029,5269,72470,30031,40362,56711,2483,5852,65432,2557,-1686,4243,291,36
1982,530,1350,-291,167179,23643,3197,5125,56168,22908,41502,40462,2228,5142,68494,2585,-1749,4334,1296,-82
1983,538,1356,-186,161210,24748,3727,4687,52776,25086,29889,25086,2208,4694,67786,3095,-1610,4705,678,-186
1984,444,1266,-398,159240,33914,6471,5851,67587,26667,55565,33643,2205,5008,69576,2791,-1612,4403,711,435
1985,428,1295,-288,151458,26693,1042,5573,61933,18782,27573,32271,2308,4711,76798,2489,-2410,4899,621,419
1986,412,1238,-389,184270,28873,5131,4709,58267,34700,52897,38566,2424,4985,76682,2585,-2278,4863,633,-327
1987,445,1243,-156,172312,29296,7705,3948,65326,29247,42293,34506,2318,4478,75314,2509,-2666,5175,937,451
1988,479,1208,-282,182756,31891,6421,4615,70107,29313,39807,70107,2127,5256,65579,2427,-1620,4047,-282,776
1989,630,1252,188,119194,17761,1687,4698,38837,17618,36090,24399,2152,5909,47723,2532,-1110,3642,1245,630
1990,561,1261,-89,185301,42995,3344,7253,69121,26794,55121,69121,2121,5339,59533,2526,-1446,3972,-89,478
1991,541,1392,-90,135388,22092,2023,4892,45596,23111,29818,39897,2205,4913,63535,2555,-1933,4488,1018,-15
1992,558,1334,-56,174111,32705,1819,5300,68720,23317,38289,41353,2122,5125,60515,2581,-1559,4140,269,771
1993,487,1235,-207,163047,26705,3925,5017,53187,26707,50768,38345,2407,5319,63706,2462,-2064,4526,1150,153
1994,652,1429,137,165205,23267,4071,4285,54241,27409,38787,27840,2151,5319,61968,2681,-1363,4044,788,188
1995,493,1271,-79,187228,36029,895,5989,73832,23942,36823,55910,2234,4851,66462,2601,-2005,4606,361,382
1996,485,1194,-294,147930,28187,2716,5691,52285,22915,46634,26550,2226,5723,60526,2350,-1540,3890,263,-117
1997,596,1275,58,151942,25437,5692,4590,57819,25222,48197,37057,2022,5814,55625,2388,-1090,3478,1249,353
1998,526,1334,-139,152171,21836,2582,4777,56217,18901,37982,27647,2430,5598,64646,2728,-1613,4341,525,-45
1999,526,1415,-353,204852,30516,8299,4090,63941,35084,43645,63020,2273,4922,78869,2615,-2002,4617,-334,180
2000,586,1424,-91,139157,23743,6137,4266,41830,23877,41668,35873,2099,4974,68644,2666,-1553,4219,1214,756
2001,521,1306,-241,192968,33165,6025,5399,67662,26262,56145,26262,2271,5172,69292,2594,-1796,4390,561,-241
2002,601,1359,48,181199,25441,4396,3887,58902,33646,55060,42360,2105,5138,55754,2736,-1362,4098,298,681
2003,625,1668,-129,130160,19523,4788,4223,45577,17973,36417,17973,2408,4863,78890,2963,-1988,4951,385,-129
2004,558,1293,-24,149254,30442,2928,7029,66985,16651,59665,20865,2374,5785,62671,2578,-1525,4103,671,50
2005,469,1354,-571,133673,20185,2950,4105,44858,22002,43710,31746,2429,5248,84111,2700,-1929,4629,1321,167
2006,548,1325,-198,166231,27363,4554,5484,62842,20945,51263,51517,2181,5069,66483,2540,-1762,4302,296,373
2007,551,1303,-8,204686,34727,3347,5602,86080,30612,82190,44082,2309,5293,61752,2599,-1763,4362,1156,58
2008,545,1284,-51,138978,18325,3701,3815,44975,23668,41851,31664,2238,5871,59559,2384,-1427,3811,1193,-20
2009,573,1404,-346,129149,18818,3396,4861,43861,18387,39784,37354,2260,4908,78151,2736,-1868,4604,1260,772
2010,443,1344,-381,127815,19821,2765,5047,47762,18315,47762,26350,2414,5261,76840,2687,-1901,4588,1344,345
2011,6.90666666666667,13.0516666666667,1.58,1374.45,336.28,0.16,76.3839678441394,483.23,154.2,455.1,438.94,21.735,53.9597815292949,544.820459723507,26.81,-13.47,40.28,11.4683333333333,4.57833333333333
2012,5.77041666666667,14.4616666666667,-2.02833333333333,1646.65,283.19,28.83,50.6572593036796,542.02,165.4,470.78,342.37,23.8508333333333,47.2574466679876,711.924327513859,27.96,-22.51,50.47,2.09166666666667,0.916666666666667
2013,4.98125,14.4266666666667,-2.785,1710.94,228.01,64.32,39.189978215984,509.74,291.04,355.8,291.04,22.0991666666667,50.21396652276,759.926973913822,26.46,-17.55,44.01,1.17166666666667,-2.785
2014,6.66375,13.3616666666667,0.96,1647.36,361.76,53.65,59.9957118193444,649.67,284.18,649.67,338.34,20.8025,51.7217802088513,542.093380290283,25.6,-14.62,40.22,13.3616666666667,5.97333333333333
2015,6.745,15.1033333333333,0.836666666666667,1434.82,245.7,19.11,49.0746102411641,525.17,201.86,325.26,344.23,21.3966666666667,51.5333975594091,631.571056968256,28.7,-12.82,41.52,4.84833333333333,1.705
8110,526,1321,-172,162069,26954,3959,5003,58325,24670,44919,38285,2258,5218,67031,2608,-1741,4349,701,243
CHELSA,38,129,-45,1456,161,97,18,473,309,473,321,80,301,6427,181,-85,267,129,63
worldclim,34,109,-41,1548,152,112,9,429,359,387,429,74,30,5942,164,-80,244,-41,45
