,bio1,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19,bio2,bio3,bio4,bio5,bio6,bio7,bio8,bio9
1981,580,1369,-107,197148,29538,3691,4760,67611,29936,41022,55783,2332,5450,69306,2634,-1645,4279,396,206
1982,651,1473,-135,157426,21846,3223,4754,50100,23361,37916,38574,2105,5093,66687,2670,-1462,4132,1447,72
1983,684,1464,-1,153513,25773,2869,4864,53009,25429,25429,26289,2198,4783,64348,3124,-1471,4595,881,1464
1984,611,1461,-228,143678,28066,6733,5222,58129,25777,46750,30750,2162,4942,69746,3044,-1331,4375,873,511
1985,591,1444,-122,149878,26834,912,5891,60462,17957,27278,32252,2374,4695,78615,2708,-2349,5057,859,479
1986,533,1380,-318,182320,27956,5307,4595,59087,34499,53552,38328,2373,5013,78922,2703,-2031,4734,787,-268
1987,609,1434,-16,169255,26378,6539,3656,62658,28172,41724,34482,2228,4384,75909,2820,-2263,5083,1122,523
1988,635,1363,-78,174498,31376,6759,4503,62259,29146,42484,62259,2087,5204,63374,2598,-1412,4010,-78,901
1989,790,1428,336,124026,20709,1746,5361,42891,16340,39387,23993,2154,6125,49535,2672,-845,3517,1416,484
1990,749,1473,32,174714,33058,3299,5793,56443,29770,55459,56443,2103,4778,62787,2760,-1642,4402,32,719
1991,714,1588,10,139552,19654,3036,4205,45363,23628,31653,39318,2171,4635,66876,2833,-1851,4684,349,201
1992,723,1540,52,167545,26325,1534,4444,62543,26120,39637,41154,2119,5007,65862,2819,-1413,4232,364,921
1993,689,1479,-15,161155,24063,4693,5036,53201,24177,50573,35137,2368,5362,64969,2776,-1641,4417,1391,276
1994,804,1592,259,157602,22475,3551,4354,51704,24466,37849,24466,2099,5325,61689,2795,-1146,3941,884,259
1995,672,1496,103,184079,34956,1111,5737,68453,23250,38646,52192,2202,4692,69359,2781,-1912,4693,522,497
1996,674,1390,-82,163059,29446,3015,5643,55158,24371,54388,28379,2209,5797,60037,2503,-1307,3810,411,147
1997,773,1435,253,144535,23606,4754,5125,58941,21676,44467,34395,2033,5922,54013,2563,-870,3433,1228,506
1998,730,1539,52,145874,21213,2774,4945,49731,17544,42754,24560,2404,5561,64674,2959,-1364,4323,679,174
1999,699,1566,-177,201715,33138,7850,4373,65922,34928,40163,65922,2240,4860,77309,2690,-1918,4608,-177,749
2000,776,1580,162,143761,22405,5934,4301,41773,24002,41773,31859,2111,4816,68783,2797,-1586,4383,1580,847
2001,704,1454,-56,189750,30790,6053,5371,65391,23198,60646,23277,2181,5118,67706,2696,-1566,4262,749,304
2002,784,1550,255,183396,27221,3058,4453,63831,30351,58263,55726,2087,5125,54574,2887,-1185,4072,1406,406
2003,813,1846,106,129766,17648,4274,4158,42359,17887,42359,17887,2360,4927,76069,3184,-1605,4789,1846,106
2004,742,1500,146,137636,26958,3630,6354,57644,17869,53726,17869,2320,5639,63593,2814,-1299,4113,868,146
2005,637,1556,-450,145279,21807,4282,3811,51676,24367,51676,32516,2426,5008,88944,2947,-1898,4845,1556,288
2006,702,1462,-27,155726,26521,4552,5745,61257,21387,48030,45041,2119,4937,66974,2763,-1529,4292,509,478
2007,681,1488,28,180292,30687,2506,5851,75854,25364,75854,38934,2228,5089,66668,2753,-1625,4378,1488,466
2008,706,1464,73,149975,25297,3471,4492,53831,26707,51895,26707,2209,5880,62832,2596,-1161,3757,1356,73
2009,734,1557,-192,142493,19071,3394,4668,48948,21239,46505,41799,2243,5008,78330,2883,-1595,4478,1436,658
2010,617,1532,-194,137210,19889,3160,4932,51576,18850,51066,35156,2374,5363,79623,2833,-1594,4427,1414,188
2011,8.28708333333333,14.93,2.54666666666667,1400.58,347.3,0.13,78.4088537708804,500.61,148.52,458.14,451.83,22.5175,53.9858547111005,585.00366969841,29.38,-12.33,41.71,13.39,5.555
2012,7.48208333333333,16.2383333333333,-0.378333333333334,1602.12,267.33,30.12,50.234743006316,553.27,204.09,378.81,417.32,24.3575,48.5789788591943,736.178660946739,29.77,-20.37,50.14,9.29,3.01166666666667
2013,6.55541666666667,16.4566666666667,-1.61166666666667,1671.91,254.49,66.54,38.1658790479282,528.74,317.8,354.05,317.8,22.6525,49.4380183326058,799.277556135805,29.07,-16.75,45.82,13.5066666666667,-1.61166666666667
2014,8.175,14.9266666666667,2.33666666666667,1703.95,350.16,54.07,56.8849458404867,668.92,289.77,668.92,321.54,21.2983333333333,50.5658436213992,552.165530187527,27.5,-14.62,42.12,14.9266666666667,7.47833333333333
2015,8.05666666666667,17.1283333333333,1.66833333333333,1366.19,241.05,14.74,46.5136846361795,478.69,200.92,322.45,213.21,21.7233333333333,51.5871131164411,674.288929618499,30.74,-11.37,42.11,6.87666666666667,2.27
8110,694,1497,-11,159562,25823,3924,4913,56594,24392,45764,37048,2221,5151,67937,2787,-1551,4337,920,426
CHELSA,54,146,-31,1245,127,89,11,369,271,369,307,81,299,6534,199,-71,270,146,79
worldclim,42,119,-35,1421,136,103,8,385,334,362,384,78,31,6052,176,-75,251,-22,-4
