,bio1,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19,bio2,bio3,bio4,bio5,bio6,bio7,bio8,bio9
1981,455,1246,-203,210530,34746,3766,5147,72463,32529,39252,63509,2164,5190,68644,2450,-1720,4170,253,118
1982,519,1366,-237,167699,23426,3389,4913,54208,26379,39024,44189,1955,4955,66718,2488,-1458,3946,178,-49
1983,569,1349,-85,162192,27134,2224,5117,57920,23424,23424,29129,2055,4826,62570,2941,-1317,4258,725,1349
1984,492,1333,-300,149996,27637,6469,5040,60389,28230,46019,32210,1980,4835,67436,2781,-1314,4095,761,152
1985,501,1318,-139,171187,30617,958,5920,69248,19914,30072,37288,2171,4481,74073,2535,-2309,4844,688,427
1986,431,1268,-404,198001,31235,6017,4461,64445,37886,49140,43116,2198,4848,76613,2535,-1998,4533,691,-348
1987,517,1329,-44,177777,27541,6727,3505,64222,30355,43238,36040,2083,4342,71769,2600,-2198,4798,1004,424
1988,533,1258,-160,187774,33547,6368,4803,67380,26640,44535,67380,1940,5124,62858,2482,-1304,3786,-160,812
1989,692,1303,277,133433,22894,1831,5557,45440,16570,41559,27746,2030,6126,46615,2509,-805,3314,1292,430
1990,645,1356,-12,195227,38691,4672,6130,63796,29399,61221,63796,1951,4954,59198,2562,-1376,3938,-12,602
1991,613,1476,-64,151209,21997,3483,4435,50035,24215,35448,42604,2005,4573,64855,2663,-1721,4384,238,94
1992,634,1438,28,181980,28989,1751,4882,73444,27922,40647,46189,1964,4986,62953,2620,-1319,3939,304,824
1993,569,1356,-142,174551,28645,4788,5352,58111,25349,54187,40071,2176,5183,64585,2562,-1636,4198,1238,166
1994,703,1476,172,173753,24723,3794,4352,58024,26545,42301,26545,1932,5139,60033,2636,-1124,3760,779,172
1995,560,1386,-27,202141,39245,1454,6139,72912,26213,38052,62556,2044,4667,67990,2628,-1751,4379,475,367
1996,568,1292,-191,176595,33432,3161,5976,61170,27416,58550,32836,2062,5585,60176,2386,-1305,3691,305,30
1997,659,1323,150,157533,23158,5098,4795,62371,24471,45885,39099,1912,5855,53308,2344,-922,3266,1115,387
1998,628,1419,-13,157777,23713,2859,5157,55673,18512,46126,25146,2239,5455,63020,2742,-1362,4104,569,82
1999,604,1466,-225,218372,33090,8482,4331,72253,36990,43786,72253,2104,4840,75189,2506,-1841,4347,-225,637
2000,673,1468,49,156756,25447,5857,4544,47914,24453,44257,34848,1964,4842,66608,2606,-1450,4056,347,797
2001,622,1339,-99,204921,37114,6312,5771,72515,23766,63614,23766,2066,5124,64411,2548,-1483,4031,656,-99
2002,673,1442,159,194085,29304,3352,4602,67573,32710,59628,39596,1968,5072,54406,2692,-1187,3879,1295,290
2003,694,1712,-42,137831,19610,4306,4357,45932,18000,45932,18000,2178,4825,76211,2952,-1563,4515,1712,-42
2004,630,1407,8,147901,29563,4555,6568,61242,17690,56231,22185,2164,5633,63664,2593,-1248,3841,779,217
2005,543,1434,-474,151606,25451,4274,4462,58334,25041,58334,33032,2300,5026,85325,2745,-1832,4577,1434,195
2006,591,1365,-91,166287,28072,4284,5849,67546,22078,48144,50005,2002,4815,65983,2592,-1565,4157,371,345
2007,589,1361,9,197287,34081,1962,6164,85891,24111,85891,44062,2107,5027,62158,2541,-1650,4191,1361,73
2008,603,1359,5,168996,29766,3916,4605,60546,32640,59812,32854,2043,5718,60831,2420,-1152,3572,1256,5
2009,618,1448,-264,158737,21635,4970,4645,54361,23686,37091,47795,2126,4895,76198,2715,-1628,4343,-127,549
2010,500,1384,-282,148069,22988,3244,5098,52355,20698,50200,35670,2233,5284,76396,2651,-1574,4225,1265,320
2011,7.14541666666667,13.88,1.33,1438.58,383.47,0.21,84.9002332492292,521.21,132.95,464.76,485.37,21.5725,52.271625878362,583.155462600331,28.22,-13.05,41.27,12.1283333333333,4.295
2012,6.48458333333333,15.2983333333333,-1.36333333333333,1774.77,302.53,26.41,52.1218201931515,608.58,218.89,409,472.55,23.1558333333333,47.3437606488108,715.37531339511,28.72,-20.19,48.91,8.71,1.79166666666667
2013,5.46083333333333,15.3066666666667,-2.65666666666667,1756.79,275.38,76.18,40.5855238464708,543.66,332.16,347.29,348.62,21.3483333333333,47.8662182361734,789.516849763579,27.68,-16.92,44.6,12.315,7.67
2014,6.93083333333333,13.81,0.86,1849.84,394.3,53.72,60.7212083143652,741.13,310.86,741.13,341.25,20.1533333333333,48.2598978288633,557.321428120635,26.2,-15.56,41.76,13.81,3.865
2015,6.995,16.075,0.59,1364.6,248.57,13.27,48.5991715682733,477.46,187.57,332.99,197.88,20.4416666666667,50.2375686081756,667.734602967377,29.12,-11.57,40.69,5.685,1.35833333333333
8110,588,1383,-88,172673,28583,4144,5089,61924,25794,47720,40450,2071,5074,66026,2601,-1504,4105,686,311
CHELSA,34,125,-51,1376,147,100,13,430,302,430,329,81,300,6481,178,-91,269,125,8
worldclim,29,105,-46,1579,154,117,9,433,365,390,433,74,30,5965,159,-85,244,-46,103
