,bio1,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19,bio2,bio3,bio4,bio5,bio6,bio7,bio8,bio9
1981,949,1764,237,124015,17498,2359,4669,42265,18364,27574,27309,2024,4710,74326,2890,-1407,4297,716,599
1982,1051,1858,338,103743,14987,1972,4928,33909,14429,33909,24737,1891,4767,63856,2953,-1014,3967,1858,513
1983,1051,1876,356,99912,16170,2078,5037,35858,15860,17993,20792,1955,4746,63783,3335,-783,4118,1345,404
1984,1038,1879,270,91360,18823,3937,5209,37647,17124,32214,17845,1961,4910,66849,3360,-634,3994,1306,571
1985,924,1797,195,99791,18298,666,5972,39689,10395,36662,21303,2216,4226,83123,3015,-2229,5244,1316,687
1986,913,1821,-24,120616,18526,3390,4327,38547,21126,38385,21126,2156,4628,82570,3104,-1554,4658,1123,-24
1987,1048,1832,381,111113,17963,3936,3913,42565,18133,41248,20320,2032,4492,74294,3010,-1513,4523,1607,885
1988,1075,1855,400,113628,18240,4406,4234,36758,18473,29338,36758,1916,4953,63194,3016,-851,3867,400,1381
1989,1120,1819,605,82469,14047,1134,5683,29472,10693,29472,15414,2028,5675,53688,3021,-552,3573,1819,686
1990,1103,1865,344,114060,21178,2316,5461,39849,18368,39849,31639,1976,4451,67702,3095,-1344,4439,1865,1185
1991,1046,1913,251,92917,13294,2265,4550,30159,14026,24815,23501,2046,4729,71818,3033,-1295,4328,1682,578
1992,1074,1953,402,112185,15928,1021,4483,41776,18804,28539,33718,1968,4790,71041,3063,-1045,4108,656,1175
1993,1065,1880,302,107153,16486,2315,5246,38495,15309,36202,21435,2110,5431,67647,3008,-877,3885,1732,562
1994,1214,2017,609,105331,16284,1985,4802,36940,14734,27083,16058,1981,5333,61859,3122,-593,3715,1941,670
1995,1037,1911,527,119203,19989,1007,5345,43646,15087,26961,27114,2062,4162,68869,3151,-1804,4955,871,762
1996,1036,1837,356,108138,18600,1777,5924,39229,15236,39229,17972,2042,5310,63934,2929,-917,3846,1837,606
1997,1105,1805,619,95284,15716,2543,5371,40559,13736,38740,13736,1966,5442,60913,2905,-708,3613,1673,619
1998,1062,1863,288,94463,14596,1606,5383,32966,10074,28639,14111,2121,5243,68130,3135,-911,4046,964,449
1999,1054,1924,139,127890,17401,5793,3847,40366,22008,28937,37834,1976,4311,78521,3005,-1579,4584,1442,520
2000,1157,1913,537,93887,15224,2989,4572,28919,15662,28919,26421,1987,4403,69066,2979,-1533,4512,1913,1127
2001,1126,1843,365,122964,20979,3575,5573,42387,12983,40131,12983,1998,4739,64798,2971,-1245,4216,1240,365
2002,1178,1934,667,115207,16606,1781,4617,41131,17408,37451,33476,1927,4833,55951,3164,-823,3987,1802,870
2003,1195,2269,425,87116,12752,2538,4636,31313,9843,31313,11572,2088,4688,75718,3565,-889,4454,2269,496
2004,1131,1917,447,91702,18980,2220,6591,39419,10852,39419,10852,2020,5160,65081,3088,-826,3914,1917,447
2005,934,1907,-133,94158,16237,2658,4405,36287,15447,36287,19059,2335,4841,92752,3193,-1631,4824,1907,435
2006,1095,1828,459,103756,19308,2261,5899,39468,13521,34950,27355,2112,5149,63496,3123,-978,4101,938,789
2007,1053,1874,383,117521,22710,1110,6850,56083,13197,56083,22653,2085,5069,64557,2995,-1119,4114,1874,522
2008,1085,1868,307,98684,18532,2173,5142,39126,17042,36714,17042,2055,5379,67969,3005,-815,3820,1744,307
2009,1119,1982,222,93060,13163,2420,4479,32424,13725,31307,26192,2110,4778,77987,3209,-1206,4415,1871,994
2010,1028,1894,206,89701,13933,1926,5134,33503,11901,33503,22746,2286,5211,78779,3049,-1339,4388,1894,657
2011,11.3516666666667,18.975,4.88,885.13,200.14,0.43,75.6273918411361,339.45,80.39,308.13,258.94,21.84,55.7854406130268,622.571731293721,31.84,-7.31,39.15,17.2483333333333,7.51833333333333
2012,10.8454166666667,19.3816666666667,2.14166666666667,1046.46,162.2,14.76,49.1768497202083,370.11,134.71,258.19,260.16,22.8208333333333,49.6969367015099,744.319746123732,32.09,-13.83,45.92,12.96,7
2013,10.2870833333333,19.7683333333333,2.22666666666667,1090.25,161.39,50.19,37.2303024189117,345.92,196.98,242.6,196.98,22.0458333333333,48.4204553774068,769.075668884211,32.3,-13.23,45.53,17.3116666666667,2.22666666666667
2014,11.5279166666667,18.0166666666667,5.01333333333333,1148.48,271.04,35.85,66.7668237943819,481.04,188.46,481.04,196.88,20.4458333333333,47.8041462084015,574.651968124792,29.89,-12.88,42.77,18.0166666666667,11.11
2015,11.4516666666667,20.9983333333333,4.37833333333333,859.92,155.86,8.52,48.046827110051,293.06,109.56,221.31,113.91,21.0816666666667,46.0097482904117,725.454288182532,35.75,-10.07,45.82,11.3883333333333,4.76
8110,1069,1890,349,104368,17082,2405,5076,38025,15119,33729,22436,2048,4885,69409,3083,-1134,4217,1517,661
CHELSA,111,206,23,799,88,57,17,261,171,261,179,81,292,6744,259,-17,276,206,25
worldclim,98,181,11,759,84,50,15,216,161,216,185,96,33,6607,252,-33,285,181,95
