,bio1,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19,bio2,bio3,bio4,bio5,bio6,bio7,bio8,bio9
1981,155,931,-558,276517,44982,4860,4956,93703,40519,57074,80641,2306,5528,66078,2204,-1967,4171,-230,-204
1982,228,1094,-573,216446,29478,4508,4834,69804,31440,53175,54341,2084,5172,67722,2187,-1842,4029,-70,-385
1983,259,1033,-388,211124,35567,4073,4791,69797,35171,35171,47920,2118,4928,62824,2646,-1652,4298,340,1033
1984,178,957,-604,196761,35942,8609,5170,78304,35066,61125,44180,2040,4909,65140,2335,-1821,4156,468,-282
1985,187,979,-398,207350,38200,1137,6075,84438,25660,35921,51407,2139,4663,68149,2120,-2468,4588,250,190
1986,125,933,-692,244876,38197,7058,4717,81286,46957,60782,52411,2272,4874,74659,2185,-2477,4662,377,-620
1987,212,1003,-315,228998,35827,9355,3640,84570,40867,56311,55189,2167,4525,69849,2174,-2615,4789,630,214
1988,213,897,-465,236563,41143,8705,4360,83626,40335,53519,83626,2010,5151,62538,2115,-1788,3903,-465,474
1989,373,952,-84,167805,26842,2367,5204,57148,21597,52190,52316,2029,6079,43085,2131,-1206,3337,911,442
1990,309,962,-290,241162,49359,5022,6042,82362,39466,74129,82362,1987,5326,55819,2132,-1598,3730,-290,184
1991,292,1137,-272,189309,27241,4485,4293,62932,32657,40669,48576,2051,4773,61020,2312,-1984,4296,22,-264
1992,336,1102,-235,222870,38156,2256,4773,87106,33994,52304,55353,2022,5094,58181,2300,-1670,3970,61,579
1993,236,969,-411,217332,35876,6587,5332,71310,32559,68440,51165,2211,5162,59454,2173,-2111,4284,856,-123
1994,404,1162,-91,211410,28857,5214,4203,69021,33986,51067,33986,1994,5358,57602,2299,-1423,3722,462,-91
1995,235,1020,-367,254240,48213,1459,5692,93413,33705,54944,72668,2024,4847,65668,2291,-1886,4177,197,73
1996,255,916,-510,221757,42061,4088,5881,76396,32639,74799,39146,2062,5590,58343,2054,-1634,3688,66,-365
1997,340,1017,-167,195430,32285,6203,5155,77776,30150,60696,48363,1922,5813,53202,2055,-1251,3306,766,136
1998,316,1090,-243,193348,27078,3678,4789,66102,23789,56948,34575,2290,5573,60440,2412,-1697,4109,275,-171
1999,305,1141,-500,272220,47186,9887,4647,93313,46281,54677,88577,2199,5016,72038,2336,-2048,4384,-473,365
2000,360,1139,-292,192428,30733,8493,4533,57329,32417,56593,43154,1991,5185,63844,2306,-1534,3840,61,581
2001,320,1012,-357,251778,39665,7351,5217,83350,31687,83232,32955,2180,5377,61703,2238,-1817,4055,303,64
2002,334,1081,-192,250794,38595,4293,4494,84874,41674,80294,52522,1986,5328,52518,2317,-1410,3727,929,-84
2003,355,1370,-412,168645,22300,5394,4149,55048,25149,55048,25149,2197,4866,78346,2563,-1953,4516,1370,-412
2004,305,1060,-280,178285,35078,5071,6704,76922,24258,68311,30173,2194,5713,61425,2165,-1675,3840,456,-220
2005,242,1076,-659,190810,28955,6039,3985,67652,31712,67652,44605,2343,5308,76685,2319,-2095,4414,1076,-44
2006,304,1085,-352,207972,35578,6515,5605,79646,29668,63301,62238,2072,5010,63199,2196,-1939,4135,-32,135
2007,304,1010,-207,246437,41117,3396,5711,100408,35777,100408,62346,2198,5290,55691,2192,-1963,4155,1010,134
2008,320,1015,-239,200344,32354,4823,4206,70377,36689,68695,39436,2064,5702,55143,2043,-1576,3619,949,-185
2009,322,1162,-575,195075,27153,4681,4968,67028,29272,48142,56530,2120,4913,73915,2353,-1963,4316,947,310
2010,177,1036,-601,187999,26715,4127,5073,71884,26078,71375,41432,2271,5379,71554,2298,-1923,4221,873,-303
2011,4.43333333333333,10.6583333333333,-1.045,1936.95,525.87,0.08,84.9356791264282,692.32,200.15,623.72,665.91,21.345,52.5738916256158,536.427591205058,24.46,-16.14,40.6,1.49,1.59666666666667
2012,3.44625,12.3366666666667,-4.14166666666667,2169.33,392.06,43.27,53.3101837365802,737.39,257.89,515.3,485.31,23.3908333333333,46.9789783758452,706.762533252217,26.04,-23.75,49.79,5.89666666666667,-1.87333333333333
2013,2.66166666666667,12.1816666666667,-4.555,2234.7,334.92,82.96,38.4767870580966,704.71,428.58,483.29,428.58,21.43,50.781990521327,759.272598470325,23.59,-18.61,42.2,9.18833333333333,-4.555
2014,3.93666666666667,10.6716666666667,-1.94166666666667,2262.53,449.96,68.98,55.9308882419831,902.67,383.1,902.67,434.86,19.6766666666667,49.6634696281339,535.400713711164,22.71,-16.91,39.62,10.6716666666667,3.40333333333333
2015,4.25791666666667,12.7816666666667,-1.515,1825.34,315.47,21.6,46.0175741049048,627.69,293.05,438.26,407.14,20.4441666666667,52.4478364973491,615.067271203777,25.16,-13.82,38.98,2.075,-0.331666666666667
8110,277,1045,-378,215870,35358,5324,4973,76564,33374,60566,52245,2118,5215,63194,2248,-1833,4081,403,39
CHELSA,15,106,-68,1297,141,82,17,416,260,416,311,81,302,6406,158,-108,267,106,40
worldclim,13,87,-58,1756,172,128,9,482,404,433,482,68,29,5766,137,-95,232,-58,86
