,bio1,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19,bio2,bio3,bio4,bio5,bio6,bio7,bio8,bio9
1981,1013,1844,250,147578,23773,2256,5338,55769,22865,27361,28085,1917,4909,71362,3026,-879,3905,894,614
1982,1150,1956,460,139680,21285,3001,4819,49303,19275,49303,30188,1842,4980,62270,3017,-681,3698,1956,624
1983,1133,1968,460,125630,22047,2971,5220,46882,20655,24400,22675,1917,4820,64326,3383,-595,3978,1338,490
1984,1102,1955,306,128487,33251,4881,6873,55594,22816,48625,24885,1893,4743,67970,3383,-607,3990,1374,1951
1985,1072,1917,396,126305,22096,763,5655,47928,15861,25365,28063,2076,4305,76846,3163,-1659,4822,1364,886
1986,1019,1914,110,135274,18320,4397,4080,43005,24350,40264,24647,1997,4579,78900,3153,-1208,4361,1346,131
1987,1085,1925,402,137306,26982,5143,4834,55124,21516,51773,24372,1939,4226,77394,3044,-1543,4587,1676,918
1988,1160,1954,507,133674,19399,4701,3939,38481,25036,34398,25927,1858,5056,63195,3111,-565,3676,1151,1423
1989,1219,1915,718,101274,18759,1779,5359,36968,16112,31384,16112,1963,5652,53266,3107,-367,3474,1148,718
1990,1224,1980,544,137100,30474,2987,6570,47253,19766,46143,39698,1890,4847,62630,3132,-768,3900,1545,1257
1991,1140,2046,381,111651,21679,1665,5778,42258,16912,27149,27239,1980,4529,71928,3171,-1202,4373,1753,620
1992,1167,2039,513,122952,19380,2135,5196,45182,17354,32529,34179,1891,4716,69337,3229,-781,4010,736,1315
1993,1107,1962,344,119779,17088,1726,5244,46580,16759,42387,21902,2036,4953,68769,3253,-857,4110,1783,610
1994,1259,2117,619,138928,25943,3340,5538,51050,19293,32656,19293,1852,5020,65309,3234,-455,3689,1508,619
1995,1124,1986,581,157736,24454,1181,5716,59177,19678,30332,37573,1938,4302,68072,3322,-1183,4505,1026,796
1996,1126,1916,428,115886,18328,3460,4989,39677,18647,39677,20730,1894,5247,63990,2971,-639,3610,1916,685
1997,1165,1899,666,121888,18491,2391,4863,49694,17900,40533,26920,1826,5438,59849,2959,-399,3358,1864,848
1998,1161,1987,417,117866,20411,2547,5915,46448,11839,25817,19577,2021,5172,68181,3283,-625,3908,1081,550
1999,1147,1992,358,157511,18793,5982,3369,51641,30392,35997,42732,1862,4657,74015,2979,-1020,3999,1508,652
2000,1262,2018,721,115276,18649,2443,4731,35789,19583,35470,22858,1865,4775,64444,3079,-826,3905,1937,1343
2001,1190,1946,451,158084,25366,4736,5129,52856,15952,46790,15952,1917,4836,67234,3067,-898,3965,1227,451
2002,1230,1981,688,142244,21114,3785,4735,48482,20380,42818,25971,1860,4900,57130,3171,-625,3796,957,907
2003,1236,2404,402,97886,14423,3543,3930,32505,11430,28244,15531,2016,4447,82471,3627,-907,4534,1020,450
2004,1200,2001,493,105790,20819,1284,6293,41532,11233,41494,11233,1972,5138,66868,3149,-689,3838,1390,493
2005,1069,1976,54,114124,17318,4439,4295,38299,19214,36303,21717,2102,4591,86745,3208,-1370,4578,1941,651
2006,1114,1873,444,143141,26557,2600,5440,49892,20269,47919,36418,1903,4803,67042,3158,-804,3962,990,796
2007,1092,1910,387,148928,24420,1966,6516,65972,14054,65105,27224,1943,5024,65761,2986,-882,3868,1771,565
2008,1106,1911,360,108565,14479,3827,3671,36182,16477,33913,16477,1962,5455,67498,3006,-590,3596,1802,360
2009,1156,2019,268,99539,16044,2938,4699,36138,15937,27497,29562,1977,4572,77401,3222,-1102,4324,357,1322
2010,1067,1942,297,95024,18445,1626,5469,31205,15832,31205,24002,2166,5268,75449,3116,-996,4112,1942,669
2011,11.8679166666667,19.2366666666667,5.56666666666667,944.76,181.87,0.9,68.0718364302955,359.07,92.35,358.51,249.93,20.7441666666667,54.0635044739814,613.672234782073,31.8,-6.57,38.37,17.7016666666667,8.15833333333333
2012,11.1604166666667,19.8983333333333,2.75,1210.11,150.64,15.58,42.8620140243638,384.69,161.13,345.98,293.35,21.6308333333333,47.624027594305,744.280081028071,31.59,-13.83,45.42,6.57833333333333,6.91166666666667
2013,10.615,20.06,2.39666666666667,1390.51,195.77,69.3,36.0989983717815,409.3,238.97,294.76,238.97,20.4066666666667,48.4029095509171,765.284825170579,31.62,-10.54,42.16,10.175,2.39666666666667
2014,11.8275,18.4716666666667,5.54333333333333,1255.35,317.05,41.26,71.0222343439436,529.52,206.45,529.52,235.67,18.9716666666667,47.2049431865306,574.954207662742,29.87,-10.32,40.19,18.4716666666667,11.27
2015,11.8233333333333,21.2633333333333,4.80166666666667,1100.59,167.14,20.15,47.2859403562397,398.49,152.92,219.33,165.05,19.5916666666667,46.5802821366302,705.89876087585,35.04,-7.02,42.06,11.6266666666667,5.18333333333333
8110,1143,1975,434,126837,21286,3016,5140,45896,18580,37428,25391,1942,4865,68855,3157,-857,4014,1410,790
CHELSA,106,199,20,1294,123,93,8,356,287,349,316,80,295,6614,252,-19,271,167,49
worldclim,92,174,7,855,95,57,15,247,183,247,206,93,33,6471,243,-34,277,174,50
