,bio1,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19,bio2,bio3,bio4,bio5,bio6,bio7,bio8,bio9
1981,196,983,-472,211140,36304,3639,5415,74747,32354,37323,65019,2198,5288,65980,2235,-1922,4157,-175,-151
1982,252,1120,-511,166048,23611,3228,5050,54546,26641,38481,44956,1974,5074,66458,2190,-1701,3891,-69,-342
1983,300,1070,-342,160596,26870,2148,5175,57193,22164,22164,28959,2063,4927,61766,2636,-1551,4187,398,1070
1984,215,1003,-538,148630,26888,6316,5135,60343,27468,28092,31942,1971,4944,64148,2348,-1639,3987,493,-199
1985,237,1040,-361,172395,30806,924,5923,70523,20327,29593,44958,2117,4571,69440,2215,-2416,4631,321,215
1986,163,974,-651,196906,32003,5922,4544,64537,37859,48644,43566,2200,4851,74044,2195,-2340,4535,414,-557
1987,263,1066,-250,173225,26450,6780,3367,61654,30532,42033,42944,2113,4449,69512,2263,-2487,4750,696,223
1988,258,952,-407,187042,33935,5686,5041,68382,24547,43144,68382,1958,5127,61522,2166,-1653,3819,-407,504
1989,417,1016,-34,130906,22132,1740,5570,44316,16005,40640,41783,2000,5991,44600,2197,-1142,3339,970,249
1990,363,1046,-265,198399,42866,5129,6589,67667,28184,59833,67667,1947,5148,57314,2196,-1587,3783,-265,255
1991,338,1190,-258,147994,22260,3455,4578,49584,23650,33968,36324,2019,4684,61728,2374,-1936,4310,26,-207
1992,373,1153,-211,181220,30250,1747,5222,76166,26902,38782,46135,1997,5082,59420,2300,-1629,3929,82,604
1993,284,1036,-369,173825,30740,4579,5617,57871,25160,52744,41721,2176,5215,60602,2215,-1957,4172,942,-105
1994,437,1191,-78,174240,25049,3872,4308,58149,27010,41985,27010,1946,5251,58022,2332,-1374,3706,515,-78
1995,282,1087,-321,202884,40439,1512,6348,73552,26597,36330,64687,1998,4795,66563,2337,-1829,4166,238,110
1996,292,981,-476,173286,33528,3058,6094,60711,26085,56877,32898,2058,5537,59509,2124,-1594,3718,75,415
1997,374,1056,-141,157482,22368,5347,4549,60317,25678,44836,40238,1883,5774,53795,2062,-1200,3262,813,139
1998,366,1148,-210,157531,22859,2637,5187,57147,18399,45139,24777,2261,5528,61100,2472,-1618,4090,317,-138
1999,343,1190,-458,218452,32141,8327,4408,73184,36670,44050,71608,2154,5016,72796,2305,-1989,4294,-442,404
2000,401,1179,-218,155687,26042,5915,4627,48147,24063,43181,35343,1960,5080,63405,2324,-1535,3859,86,597
2001,366,1058,-311,204038,38414,6231,5905,73180,23999,62126,23999,2107,5357,62102,2279,-1655,3934,354,-311
2002,389,1145,-133,192397,28769,3504,4506,65822,32437,57895,40227,1964,5149,53178,2405,-1410,3815,996,492
2003,399,1406,-363,134806,19894,4283,4472,44289,17759,44289,17759,2150,4797,77404,2617,-1864,4481,1406,-363
2004,345,1114,-246,146894,31678,4124,6874,61586,16239,54414,21049,2164,5760,62421,2196,-1561,3757,491,-87
2005,284,1128,-640,146308,25619,3941,4750,57523,23962,57523,31868,2301,5142,78501,2368,-2107,4475,1128,-24
2006,329,1110,-326,164831,28037,4164,5908,67900,21555,46016,51006,2013,4890,63707,2251,-1866,4117,32,127
2007,339,1042,-171,198576,33895,1952,6159,85505,23923,85505,55733,2142,5255,55897,2194,-1881,4075,1042,-107
2008,339,1061,-236,169249,29367,3892,4510,59687,33138,59329,33138,2033,5681,56824,2080,-1498,3578,988,-236
2009,349,1184,-528,157884,22361,5484,4746,55080,23999,36727,47478,2081,4878,74680,2371,-1895,4266,-360,309
2010,217,1085,-548,146288,23449,3143,5253,51229,19863,48252,36177,2200,5248,72567,2362,-1830,4192,929,83
2011,4.61708333333333,11.0166666666667,-1.06166666666667,1411.23,397.06,0.21,89.2561543062646,522.11,123.72,447.29,493.26,21.2691666666667,52.3355479002625,551.982973153625,25.09,-15.55,40.64,1.51833333333333,1.66333333333333
2012,3.75375,12.6833333333333,-3.77166666666667,1783.44,312.93,23.85,53.2572769837362,605.33,211.61,411.45,375.41,23.0675,46.704798542215,707.486078404631,26.4,-22.99,49.39,6.19833333333333,-1.44833333333333
2013,2.91625,12.455,-4.42833333333333,1723.9,274.54,73.46,41.8811409051672,530.16,320.01,332.5,342.51,21.1141666666667,50.0454294066524,761.543621534578,24.13,-18.06,42.19,9.43166666666667,5.02166666666667
2014,4.17541666666667,10.9683333333333,-1.94666666666667,1817.99,388.1,51.67,61.3622803801879,733.29,306.77,733.29,333.23,19.4941666666667,48.1575263504611,547.44428767324,23.16,-17.32,40.48,10.9683333333333,1.68666666666667
2015,4.46833333333333,13.32,-1.325,1362.57,251.45,12.73,50.1006168049639,483.07,186.68,328.79,199.82,20.165,51.507024265645,635.58070560184,25.72,-13.43,39.15,2.55,-0.458333333333333
8110,317,1094,-336,171639,28967,4089,5194,62018,25439,45997,41978,2072,5150,63634,2287,-1756,4042,401,96
CHELSA,7,98,-76,1448,151,106,12,441,319,441,351,81,303,6388,151,-116,267,98,-19
worldclim,10,84,-61,1786,178,129,10,497,404,433,497,68,29,5772,135,-98,233,-61,83
