,bio1,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19,bio2,bio3,bio4,bio5,bio6,bio7,bio8,bio9
1981,898,1731,152,185346,28102,3227,4993,68073,29242,35589,36659,2053,5079,71350,2924,-1118,4042,774,496
1982,1018,1810,330,169313,25649,3762,4762,59270,25246,59270,38328,1930,5108,61413,2889,-889,3778,1810,476
1983,1003,1839,343,155622,26651,3470,5063,57006,25802,30454,29413,1995,4883,64904,3289,-797,4086,1231,363
1984,964,1832,144,158076,37652,6733,6142,66424,29903,57494,32583,1967,4759,69077,3324,-810,4134,1249,1815
1985,960,1788,302,153746,27041,1102,5567,58541,19665,29270,34768,2192,4505,76852,3052,-1815,4867,1242,776
1986,883,1769,-19,173250,23489,5500,4249,54729,32289,51158,32289,2085,4617,78781,3034,-1483,4517,1179,-19
1987,960,1814,244,169325,32176,6551,4605,66962,26731,42330,32296,2047,4361,78716,2958,-1736,4694,1545,817
1988,1016,1793,347,167681,22535,6378,3797,50938,31021,41146,34990,1921,5166,62745,2994,-724,3718,361,1257
1989,1117,1794,652,125037,23730,2139,5373,46596,19706,38062,20673,2015,5835,52804,2988,-465,3453,1022,1000
1990,1112,1848,444,167964,35978,3919,6332,57290,25778,56362,51037,1959,4872,61025,3041,-980,4021,1392,1118
1991,1028,1923,301,137741,26454,2034,5624,51348,21760,31995,35134,2042,4618,69505,3048,-1375,4423,1619,531
1992,1039,1900,385,153234,22566,2603,4881,55283,21687,38791,44865,1957,4786,69334,3114,-974,4088,622,1188
1993,984,1827,207,151023,22185,2667,4960,55760,22538,53546,30047,2121,5050,69316,3165,-1035,4200,1672,497
1994,1138,1987,524,166504,30166,3936,5242,61499,24156,38485,24156,1927,5076,65102,3144,-653,3797,1375,524
1995,1003,1863,460,192747,29355,1181,5600,71119,23375,37932,55395,2016,4376,68792,3208,-1399,4607,884,711
1996,1005,1776,284,142816,23812,3751,5048,48891,23756,47200,26220,1984,5412,63182,2840,-827,3667,692,551
1997,1057,1799,566,146681,23137,3380,4856,58988,22997,47807,34552,1914,5624,59270,2873,-531,3404,1760,722
1998,1039,1839,324,143746,22387,3335,5490,53773,15681,32401,24774,2106,5257,66727,3161,-844,4005,952,469
1999,1031,1868,233,190632,23496,7396,3268,62637,36845,40847,53016,1968,4821,72617,2886,-1196,4082,1382,553
2000,1144,1891,600,136761,22605,3354,4566,41850,22572,41850,28501,1930,4907,63832,2974,-960,3934,1891,1216
2001,1060,1807,319,188430,30400,5835,5148,63939,19969,55160,19969,1964,4898,66899,2935,-1074,4009,1099,319
2002,1096,1844,556,171241,24824,4148,4589,56373,25181,54431,32101,1898,4874,56381,3079,-814,3893,839,748
2003,1109,2269,290,120306,17091,4622,3617,40489,14997,33634,19544,2092,4629,82179,3482,-1036,4518,894,344
2004,1072,1866,355,131346,24936,1707,6055,52045,14321,52045,14321,2050,5269,67094,3040,-851,3891,1866,355
2005,959,1852,-81,142747,21008,5379,4303,48149,23372,45824,28539,2207,4672,87522,3116,-1609,4725,1828,571
2006,996,1728,317,170394,30252,3368,5321,60140,22914,56807,45032,1997,4995,65598,3025,-972,3997,861,723
2007,955,1792,229,187336,30851,2662,6297,82960,19104,80398,35536,2030,5044,67346,2931,-1093,4024,1640,408
2008,974,1776,229,133748,17838,4661,3677,43713,20998,41709,20998,2055,5449,68290,2926,-845,3771,1665,229
2009,1032,1878,130,125053,18988,3804,4622,43541,19022,35807,37270,2076,4755,77792,3128,-1238,4366,259,1185
2010,941,1826,164,116096,20520,2100,5034,37726,19598,37726,32239,2251,5359,76515,2984,-1216,4200,1826,728
2011,10.73125,17.9116666666667,4.60166666666667,1195.75,233.68,0.89,68.0935925491305,456.32,124.03,449.01,322.91,21.4975,54.8545547333503,604.01780245438,30.87,-8.32,39.19,16.36,7.29166666666667
2012,9.99,18.61,1.82333333333333,1473.55,194.23,22.82,42.5065111961504,460.2,199.72,410.32,359.11,22.6033333333333,48.0308825612693,747.151560625724,30.51,-16.55,47.06,5.645,5.91166666666667
2013,9.45833333333333,19.155,1.30333333333333,1699.22,247.12,79.83,36.4623455062118,514.74,293.38,359.38,293.38,21.435,48.3860045146727,780.667556219248,31.19,-13.11,44.3,16.3,1.30333333333333
2014,10.7645833333333,17.39,4.52333333333333,1569.64,412.67,48.67,74.3818879186362,662.63,249.36,662.63,300.15,19.9241666666667,48.2776027784509,566.220863522247,29.59,-11.68,41.27,17.39,10.2533333333333
2015,10.5991666666667,19.9683333333333,3.73,1383.06,200.15,25.38,44.2662575235283,496.37,193.59,293.97,218.39,20.4266666666667,48.5424588086185,695.712219545009,33.74,-8.34,42.08,10.155,4.34166666666667
8110,1020,1844,311,155798,25529,3823,4969,55868,23341,44851,32842,2025,4969,68699,3052,-1045,4097,1248,689
CHELSA,85,177,0,1453,147,101,12,424,312,424,336,80,296,6558,230,-40,270,145,1
worldclim,74,154,-9,1026,104,69,11,281,226,281,267,88,32,6334,219,-50,269,154,68
