,bio1,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19,bio2,bio3,bio4,bio5,bio6,bio7,bio8,bio9
1981,229,1018,-435,211614,36444,3639,5426,75043,32409,37327,65214,2189,5260,66328,2264,-1898,4162,-143,-114
1982,285,1152,-475,166315,23662,3226,5055,54661,26706,38549,45072,1967,5052,66540,2228,-1666,3894,-45,-302
1983,333,1106,-314,160857,26920,2149,5179,57282,22163,22163,29001,2060,4911,61968,2671,-1524,4195,441,1106
1984,250,1046,-507,148892,26914,6321,5139,60470,27492,28136,31994,1969,4926,64511,2403,-1595,3998,527,-153
1985,271,1075,-328,172792,30883,924,5925,70728,20381,29636,45066,2122,4550,70036,2261,-2402,4663,366,242
1986,197,1011,-619,197254,32095,5929,4548,64666,37928,48725,43668,2198,4858,74297,2240,-2285,4525,449,-530
1987,295,1100,-220,173377,26461,6794,3363,61678,30601,42069,34838,2107,4427,69752,2309,-2449,4758,737,243
1988,293,994,-373,187386,34012,5667,5050,68547,24514,43186,68547,1953,5114,61668,2209,-1611,3820,-373,543
1989,453,1054,9,131058,22141,1741,5570,44361,16011,40688,41821,2004,6000,44824,2239,-1100,3339,1013,273
1990,400,1088,-234,198943,43131,5159,6610,67968,28187,59908,67968,1948,5124,57595,2244,-1557,3801,-234,301
1991,375,1227,-231,148165,22331,3460,4587,49665,23672,33970,42660,2013,4677,61987,2413,-1892,4305,51,-164
1992,407,1191,-179,181541,30365,1749,5237,76425,26915,38791,46212,1992,5073,59814,2340,-1587,3927,111,633
1993,322,1079,-340,174149,30888,4578,5630,57991,25201,52799,41869,2176,5217,61197,2259,-1912,4171,982,-71
1994,471,1228,-48,174637,25117,3886,4307,58275,27086,42065,27086,1941,5225,58315,2371,-1344,3715,550,-48
1995,318,1127,-286,203322,40568,1516,6357,73728,26666,36336,64898,2001,4785,66759,2377,-1805,4182,271,143
1996,328,1022,-439,173504,33597,3059,6100,60811,26078,56937,32959,2060,5542,59651,2160,-1557,3717,103,442
1997,412,1092,-101,157813,22388,5367,4541,60370,25778,44896,40362,1884,5779,53778,2096,-1165,3261,854,170
1998,400,1184,-186,157853,22877,2633,5190,57327,18429,45203,24814,2258,5521,61392,2509,-1581,4090,349,-111
1999,377,1227,-427,218904,32164,8339,4411,73364,36730,44159,71795,2146,4995,73211,2329,-1968,4297,-416,434
2000,435,1216,-182,155966,26121,5929,4631,48258,24095,43231,35431,1958,5061,63716,2351,-1517,3868,116,621
2001,399,1095,-283,204428,38538,6239,5910,73353,24059,62212,24059,2098,5329,62498,2316,-1621,3937,394,-283
2002,426,1185,-97,192740,28806,3516,4503,65903,32488,57961,40331,1965,5133,53440,2443,-1384,3827,1036,527
2003,437,1444,-322,134939,19939,4291,4477,44308,17783,44308,17783,2153,4798,77239,2661,-1825,4486,1444,-322
2004,382,1155,-214,147146,31829,4111,6889,61720,16207,54455,21038,2164,5747,62695,2248,-1517,3765,528,-46
2005,318,1168,-618,146385,25693,3932,4766,57632,23957,57632,31869,2299,5118,79388,2419,-2073,4492,1168,4
2006,361,1144,-299,165097,28086,4167,5911,68051,21575,46020,51139,2008,4869,64092,2296,-1828,4124,75,149
2007,372,1083,-142,199040,33962,1957,6161,85675,23958,85675,55951,2135,5225,56579,2238,-1847,4085,1083,-82
2008,371,1098,-207,169612,29412,3896,4508,59776,33222,59435,33222,2033,5695,57340,2116,-1453,3569,1022,-207
2009,383,1218,-492,158156,22431,5520,4751,55215,24055,36788,47548,2086,4888,74935,2414,-1853,4267,-331,337
2010,252,1124,-513,146502,23527,3144,5263,51295,19864,48268,36262,2195,5231,73084,2401,-1796,4197,974,107
2011,4.93666666666667,11.3983333333333,-0.786666666666667,1412.93,398.41,0.2,89.4448320169957,523.62,123.59,447.49,494.56,21.3166666666667,52.2980045796533,558.054955477804,25.52,-15.24,40.76,1.73666666666667,1.99
2012,4.0975,13.025,-3.43,1787.35,313.93,23.81,53.2927466074552,606.29,211.73,412.45,376.33,23.0533333333333,46.742362800757,708.767576341305,26.72,-22.6,49.32,6.505,-1.02666666666667
2013,3.24958333333333,12.8283333333333,-4.17333333333333,1726.04,275.13,73.46,41.9448740807094,530.84,320.15,332.65,342.86,21.1091666666667,49.6686274509804,765.580749803505,24.61,-17.89,42.5,9.80166666666667,5.355
2014,4.53208333333333,11.34,-1.60333333333333,1820.14,388.72,51.65,61.4228202723171,734.63,307.11,734.63,333.4,19.5608333333333,48.1319717847769,549.25476198264,23.58,-17.06,40.64,11.34,1.98166666666667
2015,4.79166666666667,13.6916666666667,-1.095,1365.34,252.17,12.75,50.1767990368879,484.37,187.03,329.38,200.3,20.185,51.2569832402235,640.84302904751,26.19,-13.19,39.38,2.95166666666667,-0.243333333333333
8110,352,1132,-303,171946,29043,4095,5200,62152,25474,46051,42016,2069,5138,63954,2328,-1720,4048,437,128
CHELSA,7,98,-76,1448,151,106,12,441,319,441,351,81,303,6388,151,-116,267,98,-19
worldclim,10,84,-61,1786,178,129,10,497,404,433,497,68,29,5772,135,-98,233,-61,83
