,bio1,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19,bio2,bio3,bio4,bio5,bio6,bio7,bio8,bio9
1981,111,890,-608,276230,45100,4881,4954,93468,40607,56929,80826,2305,5520,66214,2160,-2015,4175,-279,-254
1982,187,1048,-601,216531,29544,4497,4824,69937,31556,53258,54398,2086,5213,66967,2131,-1871,4002,-107,-422
1983,221,997,-429,211389,35823,4012,4817,70061,35168,35168,48068,2118,4940,62740,2606,-1682,4288,297,997
1984,138,912,-634,196008,35694,8606,5159,77729,35071,60581,44167,2034,4928,64691,2270,-1857,4127,427,-327
1985,150,941,-436,207972,38378,1110,6106,84916,25799,35852,51300,2130,4687,67655,2071,-2473,4544,200,161
1986,83,888,-740,244305,37915,7029,4707,81245,46884,61084,52156,2261,4865,74403,2127,-2520,4647,340,-665
1987,183,971,-342,228881,35818,9315,3639,84465,41043,56285,55147,2154,4546,69177,2124,-2614,4738,594,187
1988,175,863,-500,235786,40930,8644,4359,82821,40202,53510,82821,2011,5129,62594,2077,-1843,3920,-500,433
1989,335,910,-124,167741,27183,2363,5228,56743,21498,51874,52604,2022,6094,42736,2079,-1239,3318,862,413
1990,272,917,-316,240846,48741,5041,5974,81706,39526,74189,81706,1984,5353,55190,2078,-1628,3706,-316,141
1991,252,1094,-310,189507,27213,4524,4282,62989,32801,40679,32801,2053,4793,60897,2263,-2021,4284,-12,-310
1992,298,1061,-270,222231,38086,2245,4787,87138,34024,52383,54939,2016,5088,57886,2248,-1714,3962,25,549
1993,198,928,-443,217104,35788,6588,5362,71284,32298,68424,51020,2198,5163,59167,2134,-2124,4258,854,-160
1994,368,1122,-124,211187,28917,5201,4227,68860,33742,50938,33742,1990,5372,57120,2256,-1448,3704,428,-124
1995,200,979,-393,254120,48015,1459,5694,93070,33661,54770,72515,2021,4878,65070,2254,-1889,4143,171,32
1996,217,875,-540,222177,42188,4103,5901,76539,32735,75189,39301,2056,5580,58094,2024,-1661,3685,34,-403
1997,301,976,-205,194844,32135,6094,5175,77766,29975,60496,48090,1924,5823,52970,2002,-1302,3304,722,101
1998,283,1052,-265,192523,27140,3692,4815,65821,23610,56845,34355,2280,5589,59950,2366,-1714,4080,243,-195
1999,270,1097,-528,271901,46985,9829,4630,92972,46115,54911,88109,2202,5030,71374,2286,-2093,4379,-500,325
2000,327,1098,-320,192229,30824,8437,4604,57667,32268,56546,42667,1988,5247,63060,2258,-1531,3789,32,554
2001,289,973,-381,251501,39660,7291,5232,83556,31318,83556,32609,2186,5380,61147,2199,-1864,4063,973,50
2002,300,1041,-225,250881,38877,4272,4541,85346,41357,80477,52113,1984,5358,52119,2283,-1421,3704,894,-125
2003,317,1319,-450,167352,21998,5319,4159,54918,24955,54918,24955,2183,4898,77778,2504,-1952,4456,1319,-450
2004,261,1018,-330,176320,34857,5056,6730,76108,24042,67848,29782,2186,5686,61642,2125,-1719,3844,414,-269
2005,208,1031,-678,190386,28958,6082,4001,67522,31495,67522,44484,2339,5326,75655,2259,-2132,4391,1031,-68
2006,267,1048,-384,207847,35621,6516,5619,79764,29704,63187,62168,2063,5031,63094,2139,-1961,4100,-73,98
2007,266,965,-246,246197,41210,3316,5746,100510,35467,100510,62181,2193,5333,55086,2130,-1983,4113,965,103
2008,283,979,-276,200013,32117,4798,4185,70243,36761,68538,39147,2057,5703,55121,2001,-1606,3607,918,-221
2009,283,1120,-605,195485,27380,4792,4977,67235,29401,48403,56524,2110,4908,73245,2292,-2006,4298,902,275
2010,139,991,-630,188065,26997,4093,5106,72147,26033,71285,41616,2259,5367,70778,2248,-1962,4210,825,42
2011,4.04833333333333,10.2783333333333,-1.45333333333333,1939.24,528.35,0.08,85.2223760885361,694.62,199.7,623.09,668.18,21.3033333333333,52.6268115942029,534.542681914063,24.03,-16.45,40.48,1.18333333333333,1.11666666666667
2012,3.06625,11.9466666666667,-4.47833333333333,2168.82,392.23,43.15,53.3712423777795,737.13,258.65,512.86,485.04,23.3491666666667,47.0369997313994,704.498181331932,25.66,-23.98,49.64,5.56166666666667,-2.26833333333333
2013,2.30208333333333,11.815,-4.92,2237.31,337.17,82.3,38.7327325990652,707.51,428.94,484.61,428.94,21.4241666666667,50.9856417578931,758.746228336689,23.08,-18.94,42.02,8.82333333333333,-4.92
2014,3.53916666666667,10.2866666666667,-2.32,2263.39,450.6,68.52,56.0237550772389,903.68,383.35,903.68,434.32,19.5666666666667,49.864084267754,533.216689422591,22.29,-16.95,39.24,10.2866666666667,2.98833333333333
2015,3.86458333333333,12.3966666666667,-1.9,1830.92,317.82,21.64,46.1667588224971,628.91,294.46,441.63,406.61,20.3258333333333,52.4402304781562,612.685610404692,24.75,-14.01,38.76,1.64833333333333,-0.696666666666667
8110,239,1003,-411,215585,35336,5307,4985,76485,33304,60538,51544,2113,5228,62787,2200,-1862,4061,389,16
CHELSA,21,111,-63,1297,135,87,14,398,267,398,326,81,302,6428,164,-103,267,111,46
worldclim,18,91,-54,1707,166,125,9,466,394,426,466,69,29,5794,143,-91,234,-54,30
