,bio1,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19,bio2,bio3,bio4,bio5,bio6,bio7,bio8,bio9
1981,335,1118,-327,218025,35779,3920,5108,74861,33742,40962,65601,2179,5245,66782,2344,-1810,4154,152,-7
1982,396,1254,-364,173817,24155,3537,4885,55980,27290,40494,45585,1966,4997,66563,2351,-1583,3934,62,-184
1983,445,1219,-204,168221,28215,2304,5114,60073,24443,24443,30222,2058,4869,62200,2813,-1414,4227,570,1219
1984,367,1182,-408,155538,28688,6698,5030,62500,29359,29736,33437,1988,4879,65802,2594,-1480,4074,639,-15
1985,377,1180,-231,177000,31665,992,5926,71485,20593,31131,38597,2151,4543,71584,2377,-2358,4735,516,331
1986,311,1135,-508,205082,32270,6240,4457,66693,39219,50849,44537,2208,4867,75106,2381,-2156,4537,567,-432
1987,395,1197,-133,184747,28674,6953,3531,66899,31393,44825,37549,2097,4376,70220,2451,-2341,4792,855,332
1988,407,1115,-267,194421,34665,6708,4762,69556,27993,46346,69556,1943,5126,61834,2332,-1459,3791,-267,668
1989,571,1169,149,138517,23817,1913,5552,47191,17237,43108,44350,2018,6071,45038,2365,-959,3324,1143,354
1990,515,1210,-129,201545,39427,4766,6062,65483,30697,63541,65483,1957,5050,58106,2395,-1480,3875,-129,440
1991,489,1344,-146,157069,22750,3597,4415,51900,25178,36788,44191,2006,4614,62918,2534,-1815,4349,148,-40
1992,518,1308,-74,188359,29859,1813,4829,75474,29044,42390,47751,1984,5012,60804,2487,-1471,3958,211,732
1993,439,1203,-242,180797,29278,5009,5315,60156,26265,56330,41192,2184,5213,62358,2381,-1808,4189,1098,44
1994,579,1343,55,179756,25466,3932,4354,59948,27429,43795,27429,1939,5181,58842,2498,-1244,3742,660,55
1995,429,1245,-171,209246,40540,1483,6116,75428,27071,39668,64356,2025,4750,67244,2483,-1781,4264,366,255
1996,441,1142,-322,183439,34631,3303,5957,63431,28416,60849,33990,2064,5574,59562,2258,-1445,3703,205,-126
1997,530,1193,23,163109,24113,5244,4840,64939,25137,47640,40313,1893,5822,52906,2195,-1056,3251,973,282
1998,509,1294,-98,163409,24719,3012,5151,57309,19232,47964,26166,2255,5486,61770,2618,-1493,4111,458,-13
1999,486,1340,-324,226132,34537,8777,4330,74767,38326,45171,74767,2137,4923,73940,2424,-1917,4341,-324,536
2000,546,1334,-72,162481,26251,6069,4538,49583,25348,45980,36007,1968,4962,64952,2460,-1506,3966,231,696
2001,501,1208,-199,212385,38147,6555,5746,74971,24612,66195,24612,2082,5231,63370,2430,-1551,3981,521,-199
2002,539,1300,21,201476,30504,3444,4629,70448,33754,62148,40910,1967,5140,53629,2541,-1286,3827,1149,150
2003,559,1566,-186,143049,20170,4457,4333,47725,18702,47725,18702,2173,4816,76350,2801,-1712,4513,1566,-186
2004,502,1269,-100,153176,30289,4807,6523,63295,18619,58373,23212,2168,5695,62562,2412,-1395,3807,646,78
2005,421,1292,-558,157992,26323,4491,4416,60583,26112,60583,34413,2309,5102,82196,2576,-1949,4525,1292,97
2006,471,1250,-204,172261,29026,4485,5841,69853,22944,50103,51531,2009,4834,64888,2437,-1719,4156,208,251
2007,474,1214,-57,204013,35244,2042,6157,88837,25062,88837,45428,2135,5126,59105,2391,-1773,4164,1214,-11
2008,480,1215,-101,174957,30862,4054,4618,62742,33737,61967,33737,2043,5724,58263,2246,-1323,3569,1122,-101
2009,492,1323,-389,164374,22258,5045,4641,56144,24420,38373,49539,2111,4912,75500,2558,-1739,4297,-235,436
2010,362,1241,-415,153428,23761,3371,5081,54431,21544,52220,36764,2214,5255,74739,2513,-1700,4213,1104,206
2011,6.005,12.54,0.28,1494.8,395.01,0.21,84.255329647777,542.83,139.47,484.38,501.69,21.4466666666667,52.1689775399335,567.376578489262,26.81,-14.3,41.11,10.7316666666667,3.19
2012,5.23,14.0816666666667,-2.42166666666667,1834.91,311.26,27.92,51.9445525805901,629.92,227.77,422.25,487.81,23.1983333333333,47.0268261369011,711.080771527654,27.71,-21.62,49.33,7.53666666666667,0.325
2013,4.27875,13.9633333333333,-3.425,1824.12,286.34,78.73,40.5930894245477,566.35,345.46,361.87,361.81,21.2925,48.7465659340659,775.082961102171,26.11,-17.57,43.68,10.9283333333333,6.435
2014,5.70708333333333,12.5066666666667,-0.34,1918.9,408.71,55.62,60.6213356525592,768.31,322.47,768.31,354.19,19.9708333333333,48.3438231259582,548.22280881596,24.86,-16.45,41.31,12.5066666666667,2.925
2015,5.86458333333333,14.7683333333333,-0.195,1410.09,256.84,13.76,48.4953639515405,493.06,194.27,344.37,204.48,20.3241666666667,50.8358345839586,647.877985788757,27.5,-12.48,39.98,4.22833333333333,0.653333333333333
8110,463,1247,-199,178927,29536,4301,5075,64090,26764,48951,42331,2074,5113,64638,2455,-1624,4079,557,195
CHELSA,26,117,-58,1360,147,95,14,430,295,430,319,81,301,6448,170,-98,268,117,51
worldclim,22,97,-51,1662,164,122,10,460,380,406,460,71,29,5882,150,-89,239,-51,96
