,bio1,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19,bio2,bio3,bio4,bio5,bio6,bio7,bio8,bio9
1981,632,1442,-32,194053,31893,3484,5137,66929,29955,36301,49192,2131,5044,71879,2638,-1586,4224,401,297
1982,713,1529,-30,155056,21794,3126,4929,50260,24290,36044,40847,1950,4927,66166,2684,-1273,3957,398,158
1983,748,1546,94,149739,24902,2084,5104,53510,21729,21729,26795,2037,4755,63260,3119,-1165,4284,953,1546
1984,689,1553,-123,138428,25651,5989,5036,55828,26072,42749,29614,1972,4799,69131,3039,-1070,4109,956,402
1985,677,1507,5,157906,28194,899,5900,63768,18280,27944,34450,2209,4429,77074,2747,-2241,4988,938,544
1986,606,1471,-260,183030,28687,5563,4442,59523,34982,45613,39837,2194,4883,79586,2749,-1743,4492,872,-247
1987,704,1515,107,164317,25437,6231,3490,59339,28062,40252,33208,2060,4323,73842,2792,-1973,4765,1228,585
1988,724,1471,22,173593,30958,5890,4805,62216,24505,41107,62216,1944,5069,63370,2695,-1141,3836,22,1014
1989,863,1505,420,123331,21169,1687,5567,42041,15352,42041,25601,2034,6129,49795,2728,-590,3318,1505,523
1990,825,1564,144,180127,35376,4292,6097,58531,27068,56645,58531,1943,4767,61814,2791,-1285,4076,144,832
1991,787,1670,53,139696,20214,3243,4428,46176,22319,33107,39164,2019,4569,68421,2835,-1584,4419,370,283
1992,795,1631,155,168399,26595,1623,4873,67992,25885,37568,42795,1942,4875,66956,2825,-1159,3984,413,964
1993,753,1571,-4,161280,26460,4381,5343,53778,23459,50080,36987,2162,5179,67317,2799,-1376,4175,1438,335
1994,895,1678,346,160544,22973,3464,4370,53779,24461,39166,24461,1957,5202,61155,2832,-930,3762,978,346
1995,743,1586,183,186373,35977,1369,6107,67213,24211,35213,57741,2062,4535,68492,2833,-1715,4548,628,521
1996,752,1506,9,162983,30782,2896,5973,56457,25280,54189,30285,2045,5563,61045,2593,-1084,3677,452,258
1997,840,1508,327,145399,21396,4677,4795,57561,22568,42487,35997,1930,5883,54777,2569,-712,3281,1316,522
1998,794,1602,98,145614,21814,2610,5166,51565,16995,42464,23069,2209,5361,65763,2944,-1176,4120,719,218
1999,773,1635,-76,201359,30265,7907,4304,66384,34223,40649,66384,2071,4674,76642,2703,-1727,4430,-76,766
2000,866,1657,282,144719,23484,5371,4530,44235,22650,40889,32117,1978,4737,67438,2803,-1372,4175,538,946
2001,800,1530,45,189039,34368,5804,5777,66951,21831,58536,21831,2054,5028,65757,2704,-1380,4084,865,45
2002,869,1643,356,178637,26910,3093,4579,61978,30106,54781,55374,1960,4985,55489,2903,-1030,3933,1502,505
2003,887,1924,137,127673,18296,3985,4376,42650,16555,42650,19199,2169,4815,76209,3170,-1335,4505,1924,158
2004,809,1606,126,136809,27144,4177,6563,56645,16250,52251,18788,2139,5430,66142,2841,-1098,3939,967,411
2005,715,1633,-326,139809,23475,3932,4451,53724,23168,53724,30471,2308,4910,88743,2970,-1730,4700,1633,313
2006,780,1542,97,153811,25999,3904,5847,62355,20423,44727,46236,2007,4868,66317,2807,-1316,4123,611,506
2007,753,1569,93,182065,31618,1791,6187,79556,22153,79556,40525,2082,4939,65896,2749,-1466,4215,1569,207
2008,779,1564,116,155863,27536,3614,4621,56083,30069,55245,30227,2055,5597,64803,2661,-1010,3671,1450,157
2009,803,1640,-94,146685,19982,4592,4623,50152,21959,45845,44091,2142,4845,77564,2934,-1486,4420,27,717
2010,701,1585,-94,137023,21123,3008,5080,48268,19209,46530,38881,2275,5343,78112,2846,-1411,4257,1488,501
2011,8.79291666666667,15.8383333333333,2.745,1327.38,353.1,0.21,84.6894960618059,480.65,122.37,428.9,446.81,21.7525,52.861482381531,608.083519171404,30.11,-11.04,41.15,14.2016666666667,5.69
2012,8.19291666666667,16.9033333333333,0.245,1639.7,279.48,24.02,52.1464238476547,563.31,202.3,378.48,436.16,23.2091666666667,48.2820192774426,726.050381996298,30,-18.07,48.07,10.165,3.82333333333333
2013,7.33666666666667,17.165,-0.956666666666667,1623.12,252.06,71.36,40.1097260659592,499.77,308.22,321.36,321.73,21.735,47.6435773783428,795.308983218396,29.77,-15.85,45.62,14.315,9.49166666666667
2014,8.73625,15.615,2.59333333333333,1710.77,365.32,50.27,60.7329903517791,684.85,287.34,684.85,315.64,20.3658333333333,48.2374072319596,570.601123417624,27.91,-14.31,42.22,15.615,5.34
2015,8.69,17.9266666666667,2.065,1258.2,228.11,12.24,48.3274504464078,438.92,171.88,307.61,181.67,20.7183333333333,49.7917167347593,684.156547741949,31.44,-10.17,41.61,7.85,2.64333333333333
8110,769,1579,73,159445,26349,3823,5083,57182,23802,44669,37830,2068,5015,67965,2810,-1339,4149,874,478
CHELSA,60,153,-26,1236,134,89,15,394,269,394,290,81,298,6577,206,-66,272,153,35
worldclim,50,128,-30,1316,124,95,8,355,308,336,352,82,31,6160,188,-71,259,-17,4
