,bio1,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19,bio2,bio3,bio4,bio5,bio6,bio7,bio8,bio9
1981,679,1487,11,170722,25036,3329,4657,58194,26481,35907,48188,2246,5282,72146,2695,-1556,4251,489,318
1982,769,1559,19,138535,19242,2854,4724,44011,20799,44011,33869,2070,5215,64530,2701,-1269,3970,1559,204
1983,802,1579,179,134558,22450,2321,4939,47548,22306,22306,23077,2172,4879,62092,3205,-1248,4453,1028,1579
1984,740,1600,-103,124381,24710,5635,5144,50202,23074,41015,26187,2112,4822,69748,3227,-1153,4380,1008,585
1985,712,1551,33,132804,23368,831,5838,52640,15302,24951,29158,2388,4676,79175,2857,-2250,5107,1009,545
1986,650,1508,-223,161483,23808,4730,4459,51925,29750,48198,33539,2309,4970,79751,2813,-1833,4646,897,-188
1987,730,1563,58,149187,23113,5528,3639,54964,24343,37169,30286,2173,4366,77371,2978,-2000,4978,1262,627
1988,761,1502,74,152981,27132,6192,4482,53213,25133,37740,53213,2052,5215,62579,2724,-1211,3935,74,1020
1989,916,1570,472,110776,19399,1582,5568,38249,14365,35282,20950,2140,5942,51818,2815,-787,3602,1565,537
1990,885,1624,149,152328,26246,2965,5404,50033,26368,50033,45990,2066,4638,63728,2901,-1554,4455,1624,884
1991,835,1722,93,124774,17108,2799,4176,40207,20637,29860,33710,2131,4586,68814,2949,-1698,4647,404,361
1992,854,1682,196,148139,21493,1363,4276,54514,24056,35865,36292,2081,4936,67890,2971,-1246,4217,481,1024
1993,827,1630,113,142419,20975,3957,5044,47590,20890,45404,29647,2306,5372,66415,2936,-1357,4293,1508,393
1994,941,1722,383,139840,20179,2919,4499,46501,20908,34124,20908,2064,5363,61129,2886,-962,3848,1035,383
1995,807,1636,257,161737,29823,1052,5674,59312,20103,34035,45884,2166,4633,68724,2880,-1794,4674,658,610
1996,798,1532,75,145468,25695,2675,5635,49252,21771,49252,25273,2146,5742,60013,2665,-1072,3737,1532,346
1997,899,1552,398,127217,20474,3931,5204,52854,18486,39360,29414,2032,6060,52783,2657,-696,3353,1354,604
1998,865,1660,188,128244,19482,2497,5119,43524,15114,38094,20661,2332,5481,63774,3063,-1192,4255,786,326
1999,832,1664,-32,176074,27648,7200,4191,55821,30625,35781,55821,2175,4861,74718,2741,-1733,4474,-32,860
2000,919,1690,352,127419,19740,4760,4443,37641,20877,37109,27136,2074,4772,67939,2876,-1470,4346,622,953
2001,844,1565,95,167601,27955,5154,5517,58543,19060,53470,19060,2103,5038,66169,2763,-1412,4175,902,95
2002,928,1690,401,159775,23743,2490,4610,56957,25517,51034,48113,2051,5115,54171,3003,-1007,4010,1553,572
2003,948,1996,230,115357,15705,3693,4222,38798,14947,38798,17150,2289,4972,76090,3313,-1291,4604,1996,250
2004,873,1650,212,121377,23892,3151,6239,49716,15649,48460,15649,2237,5495,65122,2947,-1123,4070,1013,212
2005,757,1686,-333,130220,20287,3805,3934,47442,21658,47442,28023,2420,4943,90678,3084,-1812,4896,1686,370
2006,820,1568,108,137848,23974,3699,5845,54469,18574,43442,38623,2112,5037,65569,2885,-1309,4194,658,582
2007,771,1611,60,157317,27744,1874,6148,69080,20385,69080,32723,2162,5015,68458,2824,-1486,4310,1611,202
2008,814,1588,115,134363,23734,3028,4778,49705,24044,47514,24044,2197,5691,65959,2751,-1110,3861,1470,115
2009,846,1668,-57,126831,16623,3136,4506,43187,18657,41111,37709,2217,4967,78213,3015,-1449,4464,1559,741
2010,752,1634,-57,120936,17696,2809,4896,44534,16556,44206,31161,2368,5495,78835,2864,-1446,4310,1537,348
2011,9.23625,16.115,3.33833333333333,1221.03,289.81,0.18,76.208040622391,446.57,126.45,404.94,381.17,22.8058333333333,54.8612781653436,597.907226195138,30.51,-11.06,41.57,14.535,6.12833333333333
2012,8.63666666666667,17.255,0.641666666666666,1413.88,226.49,25.14,49.6261838472803,494.98,189.09,327.08,361.3,24.3733333333333,49.1496941587686,745.094482518015,30.38,-19.21,49.59,10.2333333333333,4.55
2013,7.80375,17.7266666666667,-0.443333333333334,1479.17,226.9,63.25,37.9533274696837,468.04,283.06,311.43,283.06,22.8508333333333,49.0150865150865,808.965560706444,30.43,-16.19,46.62,14.8066666666667,-0.443333333333334
2014,9.34625,16.0016666666667,3.445,1526.88,326.63,45.87,59.4941569691588,603.73,256.09,603.73,282.64,21.5275,49.9709842154132,551.033868163869,28.93,-14.15,43.08,16.0016666666667,8.56166666666667
2015,9.07791666666667,18.2916666666667,2.335,1185.26,211.24,12.24,46.7152829791091,414.96,164.44,284.26,176.27,21.8958333333333,51.4711643942956,681.298508142334,32.01,-10.53,42.54,8.405,2.99833333333333
8110,819,1623,116,140690,22616,3399,4927,50021,21214,41335,32049,2180,5119,68147,2900,-1384,4284,1095,515
CHELSA,79,172,-8,1107,119,76,15,349,236,349,258,81,296,6630,225,-48,273,172,103
worldclim,65,145,-17,1108,107,77,9,297,250,297,290,86,32,6292,208,-59,267,145,21
