,bio1,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19,bio2,bio3,bio4,bio5,bio6,bio7,bio8,bio9
1981,817,1637,109,153917,22244,2989,4636,52398,23812,32829,35078,2127,4960,74223,2817,-1471,4288,598,472
1982,925,1712,205,126527,17665,2606,4769,40269,18726,40269,30921,1995,5079,62930,2826,-1101,3927,1712,387
1983,929,1732,282,122592,20072,2203,4930,43558,20754,20819,26287,2076,4868,62996,3280,-984,4264,1200,310
1984,898,1766,66,112721,22717,5106,5155,45720,21176,37905,23371,2018,4773,69497,3345,-884,4229,1178,646
1985,847,1681,170,121864,21457,767,5829,47891,13557,23462,27049,2313,4476,79808,2973,-2195,5168,1175,647
1986,795,1683,-103,147826,21309,4360,4390,47375,26956,44907,30459,2221,4889,81996,2932,-1611,4543,1030,-101
1987,890,1703,199,135948,21179,5045,3638,50187,22144,34747,27157,2101,4426,76923,3029,-1718,4747,1446,755
1988,919,1686,238,139355,24115,5602,4432,47826,22367,34393,47826,1979,5085,62781,2874,-1018,3892,238,1198
1989,1042,1708,590,101128,17803,1482,5644,35110,13129,35110,19109,2080,5834,52516,2945,-621,3566,1708,622
1990,1020,1769,291,138866,24573,2770,5392,46465,23567,46465,40871,2003,4528,64789,3024,-1400,4424,1769,1047
1991,965,1850,201,114174,15681,2626,4271,36623,18332,28531,30173,2082,4650,70046,3004,-1473,4477,506,502
1992,972,1834,306,136159,18936,1273,4275,50093,22377,33475,42534,1995,4842,70076,3052,-1069,4121,546,1116
1993,955,1771,195,129907,19373,3363,5078,44310,18912,42002,26690,2202,5423,67828,3003,-1058,4061,1633,506
1994,1093,1873,526,128183,18665,2553,4599,43196,18800,31657,20416,2010,5380,61077,3010,-726,3736,1197,537
1995,937,1781,418,147563,26630,1024,5645,53966,18298,31353,42171,2107,4427,68579,3020,-1739,4759,776,696
1996,936,1704,240,132765,23331,2408,5692,45640,19794,45640,23126,2075,5524,61320,2813,-943,3756,1704,497
1997,1010,1685,512,116322,18664,3407,5240,48677,16838,36196,26508,1982,5831,56750,2752,-648,3400,1519,623
1998,973,1778,260,116510,17946,2227,5218,39854,13376,34729,18304,2215,5310,66618,3132,-1040,4172,861,412
1999,965,1804,95,159340,24096,6728,4067,49743,27898,33362,49650,2069,4618,75305,2892,-1587,4479,1340,959
2000,1064,1820,472,115806,18019,4101,4459,34307,19044,34059,33143,1993,4653,67120,2942,-1342,4284,769,1071
2001,993,1710,232,152349,25888,4642,5575,53222,16807,48511,16807,2033,4938,65690,2820,-1297,4117,1082,232
2002,1054,1819,521,143706,21366,2237,4654,51361,22623,45875,43305,1973,4968,56239,3090,-881,3971,1692,715
2003,1082,2149,326,105470,14577,3297,4311,36227,13064,36227,15200,2169,4808,75924,3484,-1026,4510,2149,394
2004,1001,1800,284,111479,22085,2823,6286,45511,14161,45511,14161,2123,5270,66732,3072,-957,4029,1800,284
2005,862,1815,-220,118952,19058,3444,4040,43946,19740,43946,25144,2381,4868,91889,3164,-1726,4890,1815,420
2006,959,1692,285,126669,22506,3184,5837,49425,16800,40857,34685,2105,5196,64558,3002,-1050,4052,821,687
2007,911,1748,202,143583,26005,1528,6371,64877,17614,64877,29252,2118,5001,67425,2923,-1312,4235,1748,353
2008,956,1733,208,122831,22214,2769,4920,46467,22042,44026,22042,2133,5554,67743,2910,-931,3841,1616,208
2009,985,1829,87,115772,15239,2888,4445,39337,16975,37527,34384,2172,4875,77833,3143,-1312,4455,1723,867
2010,902,1770,95,109910,16088,2480,4920,40040,14994,40040,28454,2352,5453,78492,2981,-1332,4313,1770,518
2011,10.3691666666667,17.555,4.30666666666667,1107.32,258.22,0.26,75.6712533923691,410.67,111.13,371.35,339.82,22.5316666666667,55.3739657573523,603.65808479083,31.53,-9.16,40.69,15.8916666666667,6.935
2012,9.79833333333333,18.3616666666667,1.49833333333333,1291.63,204.39,21.76,49.5430921499373,454.75,173.61,299.77,328.81,23.695,49.4057547956631,750.521707436456,31.33,-16.63,47.96,11.5266666666667,5.92833333333333
2013,9.22583333333333,18.9416666666667,1.08166666666667,1352.73,206.11,60.76,37.5070646086982,428.02,257.94,287.26,257.94,22.695,48.6808236808237,789.430083072976,31.51,-15.11,46.62,16.165,1.08166666666667
2014,10.5429166666667,17.16,4.26166666666667,1405.52,311.65,41.11,61.9758165275833,561.64,234.07,561.64,257.19,21.0891666666667,48.4808429118774,570.901498363188,29.84,-13.66,43.5,17.16,9.90833333333333
2015,10.3125,19.675,3.41,1080.88,192.95,11,46.9137005486202,374.95,145.88,263.03,155.27,21.53,49.5740271701589,700.22446076565,33.78,-9.65,43.43,10.08,4.08166666666667
8110,955,1768,243,128273,20650,3064,4957,45787,19156,38310,29476,2107,5017,68857,3008,-1215,4224,1304,586
CHELSA,94,187,6,1090,115,79,14,340,239,340,256,81,294,6676,240,-34,274,187,35
worldclim,85,167,0,862,92,56,14,242,183,242,220,93,33,6493,235,-44,279,167,81
