,bio1,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19,bio2,bio3,bio4,bio5,bio6,bio7,bio8,bio9
1981,50,836,-662,258074,41148,4691,4847,86880,38602,53402,75059,2256,5436,66387,2088,-2062,4150,-77,-316
1982,116,980,-669,203385,27679,4212,4742,65105,29958,50070,50313,2032,5218,66595,2025,-1870,3895,894,-487
1983,156,925,-489,198623,34047,3511,4899,67337,32834,32834,46190,2098,4982,62027,2509,-1702,4211,225,925
1984,70,833,-684,183246,33871,8362,5093,72662,33462,57104,40559,1988,4941,63479,2144,-1880,4024,366,57
1985,92,890,-490,196042,35701,1057,6082,80264,23950,34089,48577,2096,4648,67344,2005,-2503,4508,127,103
1986,15,808,-806,229321,35012,6598,4620,75904,44178,57942,47978,2221,4808,73504,2033,-2587,4620,269,-697
1987,130,923,-390,215316,34215,8436,3707,79834,37803,52411,52518,2125,4525,68488,2064,-2632,4696,531,124
1988,111,800,-549,220942,38302,8400,4348,76370,37908,50679,76370,1993,5091,61916,2005,-1909,3914,-549,359
1989,268,848,-198,158216,26460,2166,5312,53341,20257,48598,50219,2006,6104,42848,1995,-1292,3287,791,359
1990,211,860,-377,225515,43287,4770,5758,73611,37520,71029,73611,1960,5333,55004,1988,-1687,3675,-377,70
1991,181,1025,-388,178560,25540,4210,4228,58661,30724,39012,30724,2037,4753,61047,2188,-2097,4285,-81,-388
1992,233,995,-336,209352,34776,2107,4674,81058,32749,50190,50880,1994,5092,57951,2147,-1768,3915,-40,488
1993,130,864,-503,204250,32137,5949,5322,67881,29825,64854,46009,2164,5141,59063,2068,-2142,4210,785,-236
1994,301,1051,-195,199745,27750,4724,4275,65276,31107,48650,31107,1967,5374,56833,2173,-1487,3660,371,-195
1995,136,921,-451,237263,44466,1366,5699,86454,30850,50626,67030,1992,4850,65111,2186,-1921,4107,109,-36
1996,149,806,-607,209731,39394,3857,5885,71731,30930,71041,36627,2040,5576,58229,1955,-1704,3659,-31,-480
1997,232,915,-274,183404,29847,5592,5165,74369,27717,57006,43901,1905,5748,53269,1943,-1371,3314,648,29
1998,222,987,-314,181431,26494,3533,4918,61767,21912,54120,31338,2260,5590,59843,2291,-1752,4043,176,-249
1999,204,1033,-590,254760,42812,9407,4516,84771,43333,51645,80594,2177,5049,71057,2198,-2114,4312,-558,272
2000,262,1024,-371,181577,29142,7520,4700,54732,29707,53549,39171,1963,5237,61980,2178,-1571,3749,-27,498
2001,228,904,-430,238431,38223,6973,5383,80201,28474,79398,29231,2166,5369,60746,2122,-1912,4034,185,6
2002,237,976,-287,236190,36462,3855,4618,82253,38227,76070,47514,1962,5320,52026,2217,-1471,3688,830,-202
2003,248,1246,-505,158481,20942,4853,4171,52702,22625,52702,22625,2159,4901,77300,2417,-1988,4405,1246,-505
2004,192,954,-393,166481,32814,4708,6592,70670,22505,64609,27976,2156,5660,61818,2065,-1744,3809,346,-342
2005,143,954,-732,182364,28286,5790,4038,65689,29771,65689,41124,2319,5306,74918,2155,-2216,4371,954,-128
2006,196,980,-451,197481,33622,6068,5681,76732,27823,60547,57700,2043,4967,63290,2056,-2057,4113,-151,22
2007,203,895,-306,231787,39212,3030,5839,96600,32664,96600,57307,2169,5400,54193,2020,-1996,4016,895,41
2008,214,917,-353,191971,31693,4476,4340,68124,35247,66396,37081,2038,5643,55435,1942,-1669,3611,858,-304
2009,216,1050,-671,184413,25129,4495,4857,63508,27249,45105,53971,2081,4878,73031,2199,-2067,4266,833,213
2010,74,926,-679,176583,26006,3936,5093,67637,24148,66254,38747,2221,5325,70107,2172,-1998,4170,760,-399
2011,3.3475,9.61666666666667,-2.23,1817.11,472.37,0.09,82.0289407229356,641.57,187.46,593.46,604.93,21.1183333333333,52.7036020297812,535.360053014452,23.26,-16.81,40.07,7.745,0.225
2012,2.42875,11.3633333333333,-5.055,2044.1,354.58,40.29,51.6151747164479,697.85,253.29,480.41,443.65,23.0825,46.9251880463509,702.816092749215,24.95,-24.24,49.19,5.02333333333333,-2.96
2013,1.65416666666667,11.18,-5.58166666666667,2122.33,326.88,79.83,39.3364352329716,676.95,407.16,454.48,407.16,21.2966666666667,51.1201792286766,758.12189693087,22.14,-19.52,41.66,8.15166666666667,-5.58166666666667
2014,2.7825,9.57,-3.06666666666667,2160.93,438.73,67.95,57.0237495452087,863.13,361.35,863.13,408.61,19.2683333333333,49.5584705075446,532.62388657049,21.4,-17.48,38.88,9.57,2.31
2015,3.16541666666667,11.785,-2.60666666666667,1785.06,316.54,20.06,46.6468430644949,618.64,275.14,433.64,390.88,20.0491666666667,52.3476936466493,615.32975115097,23.96,-14.34,38.3,0.918333333333334,-1.37666666666667
8110,174,938,-472,203098,33149,4955,4980,72071,31135,57407,47735,2086,5209,62495,2118,-1906,4024,344,-47
CHELSA,12,102,-71,1297,143,82,18,422,261,422,308,81,303,6397,155,-112,266,102,37
worldclim,10,84,-60,1790,176,130,9,493,411,441,493,67,29,5741,133,-97,230,-60,83
