,bio1,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19,bio2,bio3,bio4,bio5,bio6,bio7,bio8,bio9
1981,629,1402,-57,195821,29193,3173,5126,69121,28536,40140,54556,2335,5572,68551,2648,-1543,4191,473,231
1982,697,1510,-72,155441,22252,2967,5014,50380,21558,37972,37861,2094,5146,66098,2661,-1407,4068,1496,118
1983,730,1526,47,152828,24226,3655,4688,50556,24304,26862,24304,2189,4793,64886,3145,-1422,4567,956,47
1984,670,1526,-168,146897,29862,5793,5675,61619,23891,49968,30943,2164,4800,70206,3175,-1333,4508,922,582
1985,621,1490,-99,143894,26385,841,5899,60484,17654,25785,29896,2395,4690,79787,2759,-2347,5106,914,477
1986,572,1423,-272,176014,28148,5004,4837,57328,33463,51213,37136,2373,5011,79200,2739,-1996,4735,814,-112
1987,649,1487,-14,164559,26973,7187,3810,62068,27852,41708,32460,2231,4320,77888,2893,-2271,5164,1182,554
1988,690,1431,-26,173103,31592,5927,4695,65822,27803,38959,65822,2079,5139,63604,2648,-1398,4046,-26,943
1989,818,1476,358,115418,17363,1572,5088,39964,15959,36811,23101,2153,5900,51344,2721,-928,3649,1461,744
1990,791,1525,84,177348,41265,3085,7123,64410,26969,53393,64410,2133,4833,62967,2778,-1635,4413,84,745
1991,733,1622,-11,129495,19861,2454,4550,41869,22219,28397,38237,2220,4615,69405,2881,-1931,4812,339,225
1992,743,1600,56,167337,29499,1543,4939,64708,23811,37780,40397,2135,4865,69402,2887,-1502,4389,363,927
1993,721,1514,-13,156001,25666,3851,5162,49897,24534,47640,36025,2377,5410,67276,2788,-1605,4393,1423,283
1994,851,1643,301,155109,21086,3706,4264,50918,25571,36472,25571,2115,5402,61239,2826,-1090,3916,948,301
1995,699,1540,128,178086,35401,967,6003,69879,22772,36216,51715,2227,4573,70973,2828,-2043,4871,528,516
1996,691,1423,-65,149652,28193,2613,5761,51895,22390,48672,26173,2201,5711,61091,2510,-1344,3854,419,196
1997,801,1488,278,143542,23679,5261,4760,55651,23351,44220,34671,2067,5888,55122,2587,-924,3511,1271,507
1998,761,1574,69,144513,19734,2269,4882,52536,17084,39548,24888,2414,5438,64663,3023,-1417,4440,710,221
1999,735,1602,-171,198300,32145,7251,4447,64855,33716,40534,64855,2228,4869,77873,2685,-1891,4576,-171,327
2000,815,1619,227,136070,22292,6374,4082,40188,23618,40188,33519,2134,4738,68763,2852,-1652,4504,1619,865
2001,743,1495,-3,186825,31319,5977,5441,64750,24999,57792,25265,2176,5001,68279,2738,-1612,4350,787,316
2002,824,1580,286,177810,25246,3875,3975,56947,31505,54143,54286,2070,5059,54713,2920,-1172,4092,1441,899
2003,840,1900,144,125291,18429,4233,4336,41796,17176,38310,18474,2393,4965,77264,3212,-1607,4819,589,157
2004,790,1548,182,141400,28310,3379,6932,62632,16867,56302,16867,2308,5551,64136,2861,-1296,4157,913,182
2005,669,1581,-445,131450,19320,3129,3847,44659,22051,44659,30948,2442,5010,89097,2976,-1898,4874,1581,331
2006,759,1515,17,157056,27007,4709,5519,60534,20421,47719,48025,2153,4969,66839,2841,-1491,4332,571,547
2007,708,1543,6,186576,31305,2784,5611,76944,28765,75753,40768,2242,5107,68692,2843,-1546,4389,1388,518
2008,743,1511,89,138962,21494,3364,4130,47991,24219,45567,24219,2249,5910,64514,2668,-1137,3805,1406,89
2009,792,1610,-156,128296,18323,3150,4770,44302,19737,41201,36634,2255,4931,79487,2946,-1627,4573,1505,970
2010,677,1588,-128,128310,18704,2717,5184,49697,17160,49326,32244,2384,5416,79252,2841,-1562,4403,1474,252
2011,8.64166666666667,15.3483333333333,2.80333333333333,1347.64,345.59,0.18,79.8120563164376,471.62,148.39,437.02,445.04,22.4383333333333,54.5016597846328,595.886365514483,29.25,-11.92,41.17,13.9816666666667,5.67833333333333
2012,7.91083333333333,16.6316666666667,0.0800000000000001,1589.33,284.53,27.19,51.8462318060493,530.15,169.61,428.28,424.13,24.3066666666667,48.6814874157153,741.375927011065,29.75,-20.18,49.93,9.55166666666667,3.60833333333333
2013,7.03083333333333,16.9466666666667,-1.08833333333333,1630.22,226.26,59.67,37.4584050255514,498.07,291.44,346.95,291.44,22.6533333333333,49.4290493854098,801.511720362708,29.36,-16.47,45.83,14.045,-1.08833333333333
2014,8.75791666666667,15.49,2.995,1610.67,323.6,51.32,55.4147306788424,625.36,284.05,625.36,319.06,21.3391666666667,50.9531200254696,546.287114750498,28.11,-13.77,41.88,15.49,8.075
2015,8.53333333333333,17.685,1.95,1333.91,238.01,13.83,49.1990825470956,480.88,189.74,311.74,210.41,21.795,51.6836613706426,679.183879685202,31.43,-10.74,42.17,7.52,2.52833333333333
8110,732,1543,19,155380,25809,3760,5018,55813,23665,43775,36809,2231,5121,68754,2829,-1554,4384,913,432
CHELSA,65,157,-20,1138,118,77,13,342,244,342,273,80,298,6545,210,-60,270,157,89
worldclim,55,133,-25,1254,118,88,9,339,288,329,335,82,31,6192,193,-66,259,-13,10
