,bio1,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19,bio2,bio3,bio4,bio5,bio6,bio7,bio8,bio9
1981,501,1268,-183,240374,38017,4302,4884,81868,35600,49669,69315,2508,5759,66159,2636,-1718,4354,316,133
1982,576,1426,-258,189150,26035,3946,4803,60608,27686,45874,47015,2262,5098,69892,2715,-1722,4437,282,-31
1983,548,1347,-194,184395,31051,3558,4796,61789,30478,30478,32409,2260,4728,67720,3111,-1668,4779,708,1347
1984,476,1316,-388,172975,32348,7779,5184,69229,31336,54530,38316,2210,4970,70648,2887,-1561,4448,754,69
1985,465,1330,-242,179717,32806,1066,5985,72406,22151,31793,38637,2388,4754,76981,2574,-2449,5023,663,448
1986,456,1290,-354,217275,34062,6333,4702,71199,42579,52424,46516,2459,5039,77699,2652,-2227,4879,686,-276
1987,476,1285,-135,202337,31362,8039,3641,74762,34903,49551,41489,2356,4556,75184,2591,-2579,5170,956,464
1988,518,1232,-226,209099,37081,7844,4424,74932,35560,51642,74932,2154,5166,64229,2466,-1704,4170,-226,810
1989,680,1280,276,147993,23655,2126,5196,51101,19542,46683,36941,2187,6105,45840,2588,-994,3582,1276,461
1990,603,1320,-82,210012,42089,4079,5961,71007,35242,65056,71007,2159,5107,62489,2609,-1619,4228,-82,524
1991,602,1461,-37,166954,23691,3730,4262,55393,28497,36239,41907,2242,4806,64243,2723,-1943,4666,306,58
1992,622,1399,21,197888,32998,1876,4630,75537,30304,46188,49339,2166,5138,60023,2739,-1476,4215,313,843
1993,548,1321,-155,192060,30410,6013,5108,63365,29274,60276,44201,2439,5262,64609,2592,-2043,4635,1236,201
1994,695,1474,173,186354,26021,4568,4226,60700,29937,44545,29937,2186,5420,60822,2700,-1334,4034,748,173
1995,545,1344,-30,222415,42747,1302,5730,82559,29047,47527,63407,2260,4822,67658,2684,-2004,4688,418,436
1996,555,1251,-235,195543,36245,3656,5728,66936,28973,65208,34421,2235,5593,60166,2399,-1598,3997,340,-73
1997,650,1325,102,172073,28460,5744,5165,68943,26358,52775,42563,2065,5772,55550,2501,-1077,3578,1106,414
1998,592,1417,-64,172844,24413,3329,4797,58697,21397,50652,30741,2489,5485,65320,2884,-1653,4537,546,36
1999,563,1486,-351,241397,41780,9004,4603,82298,41339,47292,78344,2306,4742,81379,2747,-2117,4864,-324,616
2000,644,1483,-27,170708,26754,7562,4304,49847,28920,49657,38857,2147,4961,70313,2749,-1578,4327,326,784
2001,564,1340,-193,223841,35051,6911,5171,74872,28734,72598,29494,2301,5438,67682,2606,-1625,4231,622,161
2002,628,1430,48,220688,33320,3796,4434,75110,36900,70341,46216,2145,5210,57763,2791,-1326,4117,1255,202
2003,681,1757,-75,152575,20479,5038,4128,49150,22464,49150,22464,2457,4860,80241,3103,-1953,5056,1757,-75
2004,621,1368,43,161623,31719,4449,6506,68890,21748,61944,27584,2424,5793,63423,2738,-1446,4184,751,97
2005,530,1433,-532,171191,25303,5308,3817,60197,28998,60197,39970,2484,5193,86209,2840,-1942,4782,1433,215
2006,607,1366,-136,182987,31249,5758,5650,70573,26023,55856,54236,2223,5011,64817,2662,-1773,4435,340,445
2007,596,1366,21,215056,35600,3077,5670,87679,31162,87679,48837,2336,5160,63333,2734,-1793,4527,1366,392
2008,615,1337,14,176536,28903,4243,4288,62113,31989,60572,34678,2242,5822,58443,2449,-1401,3850,1246,64
2009,636,1470,-286,170490,23136,3805,4877,58568,25521,41644,49774,2311,5041,78346,2833,-1752,4585,1318,559
2010,499,1414,-353,164439,23092,3673,4972,62146,22714,62146,36049,2462,5216,78360,2779,-1941,4720,1414,-10
2011,7.59875,13.955,2.34166666666667,1692.71,444.95,0.07,82.2239343775535,593.7,179.43,546.53,570.58,22.4758333333333,53.3234480031633,558.500432367376,28.34,-13.81,42.15,4.01666666666667,5.54
2012,6.47666666666667,15.3066666666667,-1.42166666666667,1904.75,334.5,38.43,52.2130778307172,652.94,231.98,450.68,418.65,24.4716666666667,47.5732244686366,724.136549570758,29.33,-22.11,51.44,8.59333333333333,1.48833333333333
2013,5.62,15.3116666666667,-2.20833333333333,1976.2,296.45,75.31,38.200158112171,622.88,379.42,423.53,379.42,22.7133333333333,50.2285124576146,778.132291860686,27.95,-17.27,45.22,12.475,-2.20833333333333
2014,7.17,13.8433333333333,1.41166666666667,2005.81,399.41,64.12,55.3446372852695,790.62,342.63,790.62,384.72,21.3916666666667,51.7832647462277,547.512183343066,26.43,-14.88,41.31,13.8433333333333,6.45666666666667
2015,7.33541666666667,15.7966666666667,1.54166666666667,1605.72,277.22,18.51,45.6936104341403,553.94,252.43,379.28,260.27,22.2191666666667,53.3729682120266,633.124627194841,29.1,-12.53,41.63,5.54833333333333,2.295
8110,576,1378,-128,190366,30996,4730,4921,67416,29513,53340,44653,2295,5201,67518,2703,-1734,4437,728,316
CHELSA,49,141,-36,1197,129,78,15,377,245,377,294,81,299,6525,194,-76,270,141,74
worldclim,44,121,-34,1387,130,101,8,372,324,358,369,78,31,6063,178,-73,251,-21,-2
